"school","type","group"
"NEW LONDON HIGH","other",50
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","other",14.2857142857143
"NEX GEN ACADEMY","other",0
"NISKAYUNA HIGH SCHOOL","other",16.6666666666667
"NORTH ANDREW HIGH","other",28
"NORTH CARROLL HIGH","other",0
"NORTH FORT MYERS HIGH SCHOOL","other",35.7142857142857
"NORTH HS","other",23.0769230769231
"NORTHBRIDGE HIGH","other",24
"NORTHGLENN HIGH SCHOOL","other",24.2424242424242
"OAK CREEK HIGH","other",29.4117647058824
"OAK GROVE HIGH","other",27.7777777777778
"OAKDALE HIGH","other",36.3636363636364
"OLTON H S","other",29.4117647058824
"OMRO HIGH","other",33.3333333333333
"ONTARIO HIGH SCHOOL","other",23.8095238095238
"OOLOGAH-TALALA HS","other",25
"PALACIOS H S","other",19.1489361702128
"PARK HILL HIGH","other",23.5294117647059
"PARK VISTA COMMUNITY HIGH SCHOOL","other",17.6470588235294
"PEKIN COMMUNITY HIGH SCHOOL","other",29.4117647058824
"PELLA HIGH SCHOOL","other",23.5294117647059
"PENTUCKET REGIONAL SR HIGH","other",12.5
"PERRY CENTRAL HIGH SCHOOL","other",24.1379310344828
"PIEDMONT HS","other",23.3333333333333
"PIERCE COUNTY HIGH SCHOOL","other",16.2162162162162
"PINE BUSH SENIOR HIGH SCHOOL","other",0
"PITTSFIELD HIGH SCHOOL","other",0
"PLAINWELL HIGH SCHOOL","other",6.66666666666667
"PLATTE CANYON HIGH SCHOOL","other",29.0322580645161
"PLEASANT GROVE H S","other",27.5862068965517
"PLYMOUTH-WHITEMARSH SHS","other",14.2857142857143
"PORT JERVIS SENIOR HIGH SCHOOL","other",19.3548387096774
"PORTSMOUTH HIGH SCHOOL","other",13.0434782608696
"POWDER RIVER CO DIST HIGH","other",14.2857142857143
"PRIOR LAKE HIGH SCHOOL","other",40
"QUANAH H S","other",33.3333333333333
"QUEEN CITY H S","other",24.3243243243243
"QUINCY HIGH","other",25
"RAINIER SENIOR HIGH SCHOOL","other",28.5714285714286
"RANCHO BUENA VISTA HIGH","other",21.4285714285714
"RANCHO VERDE HIGH","other",28
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","other",20
"RED RIVER HIGH SCHOOL","other",50
"RHAM HIGH SCHOOL","other",33.3333333333333
"RICE LAKE HIGH","other",18.1818181818182
"RIO RANCHO HIGH","other",26.6666666666667
"RIVERDALE HIGH SCHOOL","other",18.75
"ROBERTSDALE HIGH SCH","other",21.875
"ROGERS H S","other",32.6530612244898
"ROSEMONT HIGH","other",16
"RUSK H S","other",18.9189189189189
"SALIDA HIGH SCHOOL","other",6.25
"SAN JON HIGH","other",28.5714285714286
"SAUK PRAIRIE HIGH","other",25
"SAVAGE HIGH SCHOOL","other",25
"SAYRE HS","other",15.7894736842105
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","other",23.5294117647059
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","other",22.2222222222222
"SHADOW HILLS HIGH","other",15.7894736842105
"SHAWANO HIGH","other",27.2727272727273
"SHELBY CO HIGH SCH","other",17.7777777777778
"SHERIDAN HIGH SCHOOL","other",28.5714285714286
"SIMSBURY HIGH SCHOOL","other",16.6666666666667
"SINTON H S","other",26.530612244898
"SKIATOOK HS","other",28.5714285714286
"SLEEPY HOLLOW HIGH SCHOOL","other",28.5714285714286
"SOMERSET HIGH","other",23.0769230769231
"SOROCO HIGH SCHOOL","other",0
"SOUTH ALBANY HIGH SCHOOL","other",32.258064516129
"SOUTH CENTRAL CALHOUN HIGH SCHOOL","other",20
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","other",6.25
"SOUTH JEFFERSON HIGH SCHOOL","other",34.6153846153846
"SOUTH SENIOR HIGH","other",0
"SOUTHERN COLUMBIA HS","other",25
"SPAULDING UHSD #41","other",0
"SPENCER HIGH SCHOOL","other",33.3333333333333
"SPENCERPORT HIGH SCHOOL","other",20
"SUTTON HIGH SCHOOL","other",0
"SYMMES VALLEY HIGH SCHOOL","other",24
"TACONIC HIGH","other",27.2727272727273
"TARKINGTON H S","other",20
"TATUM H S","other",19.5652173913043
"TEAGUE H S","other",31.8181818181818
"TEXAS H S","other",16.2162162162162
"TGU-GRANVILLE HIGH SCHOOL","other",25
"THOMAS JEFFERSON HIGH SCHOOL","other",25
"THUNDER RIDGE HIGH SCHOOL","other",34.6153846153846
"TIPTON HIGH SCHOOL","other",37.5
"TOMAHAWK HIGH","other",26.6666666666667
"TURNERS FALL HIGH","other",9.09090909090909
"TURPIN HS","other",17.8571428571429
"TWIN VALLEY HIGH SCHOOL","other",23.0769230769231
"UNION HIGH SCHOOL","other",0
"UNIONVILLE-SEBEWAING HIGH SCHOOL","other",20.6896551724138
"WACONIA SENIOR HIGH","other",55.5555555555556
"WALPOLE HIGH","other",42.8571428571429
"WARRENTON HIGH SCHOOL","other",36.8421052631579
"WASHINGTON HIGH","other",0
"WAYZATA HIGH","other",0
"WEATHERFORD H S","other",22.2222222222222
"WELDON VALLEY HIGH SCHOOL","other",14.2857142857143
"WEST DELAWARE HIGH SCHOOL","other",23.8095238095238
"WEST HEMPSTEAD HIGH SCHOOL","other",13.3333333333333
"WEST ISLIP SENIOR HIGH SCHOOL","other",14.2857142857143
"WEST SENECA EAST SENIOR HIGH SCHOOL","other",28.5714285714286
"WEST STOKES HIGH","other",30
"WESTHILL HIGH SCHOOL","other",6.66666666666667
"WESTON HIGH","other",16.6666666666667
"WESTON RANCH HIGH","other",26.0869565217391
"WHARTON H S","other",22.5806451612903
"WHITMAN HANSON REGIONAL","other",12.5
"WINDTHORST H S","other",12.1212121212121
"ADM SENIOR HIGH SCHOOL","f",6
"AGWSR HIGH SCHOOL","f",7
"AKRON EARLY COLLEGE HIGH SCHOOL","f",3
"AKRON WESTFIELD SENIOR HIGH SCHOOL","f",6
"ALVARADO H S","f",5
"AMITY REGIONAL HIGH SCHOOL","f",8
"AMSTERDAM HIGH SCHOOL","f",7
"ANAMOSA HIGH SCHOOL","f",8
"APPOQUINIMINK HIGH SCHOOL","f",4
"APS ONLINE SCHOOL","f",13
"ARCADIA HIGH SCHOOL","f",8
"ATASCADERO HIGH","f",8
"ATHENS HIGH","f",11
"ATHOL HIGH","f",0
"AZLE H S","f",4
"BANKS COUNTY HIGH SCHOOL","f",7
"BARABOO HIGH","f",2
"BARBERS HILL H S","f",5
"BARNES COUNTY NORTH HIGH SCHOOL","f",0
"BASTROP H S","f",5
"BATESVILLE HIGH SCHOOL","f",4
"BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL","f",2
"BEGGS HS","f",8
"BELLPORT SENIOR HIGH SCHOOL","f",8
"BELTON H S","f",8
"BERRYVILLE HIGH SCHOOL","f",5
"BIG PINEY HIGH SCHOOL","f",11
"BINGHAMTON HIGH SCHOOL","f",0
"BLUE RIDGE H S","f",5
"BONNEY LAKE HIGH SCHOOL","f",3
"BORGER H S","f",6
"BOWLEGS HS","f",6
"BREMOND H S","f",3
"BRINDLEE MT HIGH SCH","f",5
"BROOKFIELD HIGH","f",9
"BUTLER HIGH SCHOOL","f",7
"BYRON NELSON H S","f",6
"CABOOL HIGH","f",6
"CALERA HIGH SCH","f",9
"CALHOUN HIGH SCHOOL","f",6
"CARMEL HIGH SCHOOL","f",6
"CARROLLTON HIGH SCHOOL","f",5
"CEDAR CITY HIGH","f",3
"CEDAR GROVE-BELGIUM HIGH","f",6
"CELINA H S","f",4
"CENTRAL HIGH SCHOOL","f",6
"CENTRALIA HIGH","f",1
"CENTURY HIGH","f",5
"CHANHASSEN HIGH SCHOOL","f",2
"CHASE HIGH","f",8
"CHILLICOTHE HIGH","f",7
"CHRISTIANSBURG HIGH","f",12
"CIMARRON HS","f",6
"CLEAR BROOK H S","f",4
"CLEARWATER HIGH","f",7
"COE-BROWN NORTHWOOD ACADEMY","f",6
"COLCHESTER HIGH SCHOOL","f",6
"COLUMBIA HIGH SCHOOL","f",8
"COMO PARK SENIOR HIGH","f",
"CONNALLY HIGH SCHOOL","f",4
"CORNWALL CENTRAL HIGH SCHOOL","f",7
"CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES","f",12
"CREEKVIEW H S","f",7
"CUBA HIGH","f",5
"CURRITUCK COUNTY HIGH","f",12
"DANVERS HIGH","f",4
"DAPHNE HIGH SCH","f",6
"DARLINGTON HIGH","f",9
"DAVID PROUTY HIGH","f",5
"DAWSON HIGH SCHOOL","f",7
"DEL MAR HIGH","f",4
"DEPEW HIGH SCHOOL","f",6
"DEXTER HIGH","f",13
"DODGEVILLE HIGH","f",3
"DOUGLAS HIGH SCHOOL","f",3
"DOVER HS","f",5
"EAST COWETA HIGH SCHOOL","f",7
"EAST HAMPTON HIGH SCHOOL","f",8
"EAST HIGH","f",11
"EAST LAURENS HIGH SCHOOL","f",3
"EASTERN HIGH SCHOOL","f",7
"ELGIN HS","f",7
"ELKO HIGH SCHOOL","f",5
"ELSBERRY HIGH","f",7
"EMPORIA HIGH","f",0
"EXCELSIOR SPRINGS HIGH","f",5
"FLOYD HIGH","f",10
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","f",9
"FONTANA A. B. MILLER HIGH","f",8
"FONTANA HIGH","f",9
"FREEPORT AREA SHS","f",3
"FRONTENAC SR. HIGH SCHOOL","f",0
"FRUITVALE H S","f",7
"G.F.W. HIGH SCHOOL","f",7
"GATEWAY HIGH SCHOOL","f",10
"GEORGE MASON HIGH","f",4
"GIRARD HS","f",7
"GLASGOW HIGH SCHOOL","f",13
"GLEN ROSE H S","f",4
"GOSHEN CENTRAL HIGH SCHOOL","f",0
"GRANBURY H S","f",4
"GRAND LEDGE HIGH SCHOOL","f",10
"GRANDVIEW SR. HIGH","f",4
"GRANTSBURG HIGH","f",4
"GRIFFIN HIGH SCHOOL","f",6
"GUYMON HS","f",11
"HALLSVILLE H S","f",9
"HAMILTON HIGH SCHOOL","f",10
"HANOVER HIGH","f",8
"HARLOWTON HIGH SCHOOL","f",7
"HART HIGH SCHOOL","f",8
"HENRIETTA H S","f",6
"HICKSVILLE HIGH SCHOOL","f",0
"HIGLEY HIGH SCHOOL","f",3
"HILLDALE HS","f",6
"HILLIARD BRADLEY HIGH SCHOOL","f",9
"HINTON HS","f",8
"HOMINY HS","f",7
"HORIZON HIGH SCHOOL","f",9
"HORLICK HIGH","f",7
"HORN H S","f",5
"HOWE HS","f",12
"HUDSON HIGH","f",9
"HUNTLEY PROJECT HIGH SCHL","f",13
"IGNACIO HIGH SCHOOL","f",9
"ILLINOIS VALLEY HIGH SCHOOL","f",6
"INDEPENDENCE HIGH SCHOOL","f",5
"IRAAN H S","f",4
"IRONTON HIGH SCHOOL","f",6
"IRVINE HIGH","f",8
"JACKSON HOLE HIGH SCHOOL","f",7
"JEFFERSON HIGH","f",8
"JERICHO SENIOR HIGH SCHOOL","f",11
"JOSEPH CASE HIGH","f",6
"JUDITH GAP HIGH SCHOOL","f",6
"JULIAN HIGH","f",6
"KALKASKA HIGH SCHOOL","f",6
"KENYON-WANAMINGO SENIOR HIGH","f",3
"KETCHUM HS","f",5
"KEYSTONE HIGH SCHOOL","f",4
"LA FERIA H S","f",5
"LA JOLLA HIGH","f",12
"LAINGSBURG HIGH SCHOOL","f",8
"LANDER VALLEY HIGH SCHOOL","f",5
"LATHROP HIGH","f",5
"LATHROP HIGH SCHOOL","f",7
"LATTA HS","f",11
"LAUREL HIGH SCHOOL","f",9
"LAWSON HIGH","f",1
"LEAVENWORTH SR HIGH","f",4
"LEBANON HIGH SCHOOL","f",0
"LEBANON SR. HIGH","f",4
"LEHIGH SENIOR HIGH SCHOOL","f",6
"LEOMINSTER HIGH SCHOOL","f",6
"LEVERETTS CHAPEL H S","f",8
"LINCOLN SENIOR HIGH SCHOOL","f",2
"LITTLE MIAMI HIGH SCHOOL","f",5
"LOMPOC HIGH","f",8
"LONGMONT HIGH SCHOOL","f",5
"LOUISIANA HIGH","f",6
"LOVELL HIGH SCHOOL","f",7
"LURAY HIGH","f",9
"LYNNVILLE-SULLY HIGH SCHOOL","f",12
"LYONS SENIOR HIGH SCHOOL","f",0
"MACON SR. HIGH","f",6
"MADRAS HIGH SCHOOL","f",8
"MARATHON HIGH","f",8
"MARINETTE HIGH","f",0
"MARTINSVILLE HIGH","f",3
"MAY-PORT CG HIGH SCHOOL","f",5
"MCGREGOR H S","f",3
"MCLOUTH HIGH","f",9
"MEMORIAL HS","f",7
"MIDDLE CREEK HIGH","f",5
"MIDLAND H S","f",14
"MILLER PLACE HIGH SCHOOL","f",12
"MILTON HIGH","f",9
"MIRA MESA HIGH","f",11
"MOHONASEN SENIOR HIGH SCHOOL","f",4
"MONROE-WOODBURY HIGH SCHOOL","f",9
"MONTE VISTA HIGH","f",1
"MOORE HS","f",7
"MORENCI HIGH SCHOOL","f",8
"MOUNDS HS","f",7
"MOUNTAIN VIEW HIGH SCHOOL","f",3
"NANTUCKET HIGH","f",5
"NASHOBA REGIONAL","f",0
"NELSON COUNTY HIGH","f",10
"NEVADA HIGH SCHOOL","f",7
"NEW LONDON HIGH","f",3
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","f",8
"NEX GEN ACADEMY","f",3
"NISKAYUNA HIGH SCHOOL","f",6
"NORTH ANDREW HIGH","f",8
"NORTH CARROLL HIGH","f",7
"NORTH FORT MYERS HIGH SCHOOL","f",1
"NORTH HS","f",8
"NORTHBRIDGE HIGH","f",4
"NORTHGLENN HIGH SCHOOL","f",4
"OAK CREEK HIGH","f",3
"OAK GROVE HIGH","f",3
"OAKDALE HIGH","f",5
"OLTON H S","f",5
"OMRO HIGH","f",6
"ONTARIO HIGH SCHOOL","f",7
"OOLOGAH-TALALA HS","f",8
"PALACIOS H S","f",6
"PARK HILL HIGH","f",7
"PARK VISTA COMMUNITY HIGH SCHOOL","f",7
"PEKIN COMMUNITY HIGH SCHOOL","f",5
"PELLA HIGH SCHOOL","f",4
"PENTUCKET REGIONAL SR HIGH","f",8
"PERRY CENTRAL HIGH SCHOOL","f",2
"PIEDMONT HS","f",9
"PIERCE COUNTY HIGH SCHOOL","f",7
"PINE BUSH SENIOR HIGH SCHOOL","f",0
"PITTSFIELD HIGH SCHOOL","f",9
"PLAINWELL HIGH SCHOOL","f",7
"PLATTE CANYON HIGH SCHOOL","f",9
"PLEASANT GROVE H S","f",6
"PLYMOUTH-WHITEMARSH SHS","f",7
"PORT JERVIS SENIOR HIGH SCHOOL","f",7
"PORTSMOUTH HIGH SCHOOL","f",7
"POWDER RIVER CO DIST HIGH","f",5
"PRIOR LAKE HIGH SCHOOL","f",7
"QUANAH H S","f",3
"QUEEN CITY H S","f",7
"QUINCY HIGH","f",4
"RAINIER SENIOR HIGH SCHOOL","f",5
"RANCHO BUENA VISTA HIGH","f",5
"RANCHO VERDE HIGH","f",3
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","f",1
"RED RIVER HIGH SCHOOL","f",1
"RHAM HIGH SCHOOL","f",6
"RICE LAKE HIGH","f",3
"RIO RANCHO HIGH","f",6
"RIVERDALE HIGH SCHOOL","f",6
"ROBERTSDALE HIGH SCH","f",7
"ROGERS H S","f",6
"ROSEMONT HIGH","f",7
"RUSK H S","f",4
"SALIDA HIGH SCHOOL","f",13
"SAN JON HIGH","f",6
"SAUK PRAIRIE HIGH","f",4
"SAVAGE HIGH SCHOOL","f",11
"SAYRE HS","f",10
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","f",9
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","f",2
"SHADOW HILLS HIGH","f",11
"SHAWANO HIGH","f",8
"SHELBY CO HIGH SCH","f",6
"SHERIDAN HIGH SCHOOL","f",8
"SIMSBURY HIGH SCHOOL","f",6
"SINTON H S","f",3
"SKIATOOK HS","f",4
"SLEEPY HOLLOW HIGH SCHOOL","f",2
"SOMERSET HIGH","f",6
"SOROCO HIGH SCHOOL","f",7
"SOUTH ALBANY HIGH SCHOOL","f",3
"SOUTH CENTRAL CALHOUN HIGH SCHOOL","f",7
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","f",11
"SOUTH JEFFERSON HIGH SCHOOL","f",5
"SOUTH SENIOR HIGH","f",0
"SOUTHERN COLUMBIA HS","f",6
"SPAULDING UHSD #41","f",8
"SPENCER HIGH SCHOOL","f",8
"SPENCERPORT HIGH SCHOOL","f",7
"SUTTON HIGH SCHOOL","f",15
"SYMMES VALLEY HIGH SCHOOL","f",8
"TACONIC HIGH","f",3
"TARKINGTON H S","f",5
"TATUM H S","f",6
"TEAGUE H S","f",4
"TEXAS H S","f",7
"TGU-GRANVILLE HIGH SCHOOL","f",4
"THOMAS JEFFERSON HIGH SCHOOL","f",11
"THUNDER RIDGE HIGH SCHOOL","f",6
"TIPTON HIGH SCHOOL","f",9
"TOMAHAWK HIGH","f",5
"TURNERS FALL HIGH","f",3
"TURPIN HS","f",7
"TWIN VALLEY HIGH SCHOOL","f",9
"UNION HIGH SCHOOL","f",0
"UNIONVILLE-SEBEWAING HIGH SCHOOL","f",7
"WACONIA SENIOR HIGH","f",4
"WALPOLE HIGH","f",5
"WARRENTON HIGH SCHOOL","f",4
"WASHINGTON HIGH","f",0
"WAYZATA HIGH","f",0
"WEATHERFORD H S","f",4
"WELDON VALLEY HIGH SCHOOL","f",6
"WEST DELAWARE HIGH SCHOOL","f",5
"WEST HEMPSTEAD HIGH SCHOOL","f",10
"WEST ISLIP SENIOR HIGH SCHOOL","f",5
"WEST SENECA EAST SENIOR HIGH SCHOOL","f",2
"WEST STOKES HIGH","f",4
"WESTHILL HIGH SCHOOL","f",5
"WESTON HIGH","f",6
"WESTON RANCH HIGH","f",6
"WHARTON H S","f",7
"WHITMAN HANSON REGIONAL","f",7
"WINDTHORST H S","f",9
"ADM SENIOR HIGH SCHOOL","m",2
"AGWSR HIGH SCHOOL","m",5
"AKRON EARLY COLLEGE HIGH SCHOOL","m",3
"AKRON WESTFIELD SENIOR HIGH SCHOOL","m",2
"ALVARADO H S","m",3
"AMITY REGIONAL HIGH SCHOOL","m",2
"AMSTERDAM HIGH SCHOOL","m",2
"ANAMOSA HIGH SCHOOL","m",4
"APPOQUINIMINK HIGH SCHOOL","m",1
"APS ONLINE SCHOOL","m",0
"ARCADIA HIGH SCHOOL","m",5
"ATASCADERO HIGH","m",1
"ATHENS HIGH","m",2
"ATHOL HIGH","m",0
"AZLE H S","m",4
"BANKS COUNTY HIGH SCHOOL","m",3
"BARABOO HIGH","m",2
"BARBERS HILL H S","m",3
"BARNES COUNTY NORTH HIGH SCHOOL","m",8
"BASTROP H S","m",3
"BATESVILLE HIGH SCHOOL","m",0
"BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL","m",5
"BEGGS HS","m",4
