"schoolName","state","link","item","extract"
"Coe-Brown Northwood Academy","NH","http://coebrown.org/handbook/#toggle-id-15","clean","  Overall expectations for all students:  All students are expected to be neat and clean."
"Judith Gap High School","MT","https://docs.google.com/document/d/1jk1vC6zX40S-QxBZgzh6Tzr_E8B7ERC-SDZmkMRAVJs/edit","appropriate/inappropriate","The District has the responsibility to ensure proper and appropriate conditions for learning, along with protecting the health and safety of its student body."
"North Andrew High","MO","http://northandrew.org/forms/NA%20MS%20HS%20Handbook%202018-19.pdf","clean","Students are to be fully dressed in neat and clean clothing for the protection of their and other’s health."
"Bellport Senior High School","NY","http://www.southcountry.org/Assets/District_Links/111016_Code_of_Coduct-July_2016.pdf?t=636143706560670000","clean","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions."
"Washburn Rural High","KS","http://usd437.net/schools/wrhs/","appropriate/inappropriate","Clothing is inappropriate if any flesh can be seen starting at underarms down to mid-thigh."
"Chireno High School","TX","http://www.chirenoisd.org/UserFiles/Servers/Server_423706/File/Chireno%20ISD%20Student%20Handbook%202018.pdf","disruption/distraction","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize safety hazards."
"Littleton High School","MA","https://drive.google.com/file/d/0B630GjvtAlZ4RW5LU2hyMHlaOUU/view","disruption/distraction"," Expressive clothing that causes disruption or disorder is not allowed on school grounds."
"Howe High School","OK","https://docs.google.com/document/d/1jOheaTJ7GkGRfQV7yEc0M-d0FdZsTAGxHL8kevB5m2Q/edit","neat","Reasonable care and neatness in regard to dress and appearance is required of all students."
"Northbridge High","MA","https://drive.google.com/file/d/0B5Kk_e5XgnTiczhsTHVZcWJUeUhnVVZNeGFFbXpYeFliM2N3/view","respect/disrespect"," Students are expected to exercise good judgment in their style of dress as well as demonstrate respect for those around them."
"Weatherford High School","TX","https://4.files.edl.io/834f/07/16/18/202519-9427696d-edc1-4e19-849d-b62b4d0298cf.pdf","interfere with learning"," Shall not give school officials reason to believe that such dress or grooming will disrupt, interfere with, disturb, or detract from school activities"
"Sheridan High School","WY","https://scsd2.com/download/sheridan-high-school-student-handbook/","modest/modesty"," Styles that are immodest, extreme, or too revealing will not be tolerated because they detract from the educational process."
"Mountain Range High School","CO","https://mountainrange.adams12.org/sites/dev.mountainrange.adams12.org/files/assets/handbook.pdf?1543011031579","safe/safety"," In order to promote a safe environment that focuses on education and minimizes distractions students are expected to abide by the following general guidelines as identified in District Policy 5060."
"Rutland Senior High School","VT","http://rhs.rutlandcitypublicschools.org/wp-content/uploads/sites/2/2018/09/RHS-Student-Handbook-18-19-UPDATED-AS-ON-9-12-18.pdf","safe/safety"," Students are expected to wear clothing that is clean and safe."
"Hobbs High","NM","http://www.hobbsschools.net/UserFiles/Servers/Server_6/File/Handbook/HHS%20HFHS%20Handook%202018-%202019.pdf","safe/safety"," The schools reserve the right at all times to regulate all students’ appearance that creates disruption, is a distraction to learning, is of questionable decency, and/or creates a health or safety hazard."
"Chanhassen High School","MN","http://cns.district112.org/wp-content/uploads/sites/6/2018/08/StudentHandbook.docx-Google-Docs.pdf","disruption/distraction"," District 112 students are expected to maintain an appearance that is not distracting to teachers or other students, disrespectful to others, or disruptive to the educational process."
"Borger High School","TX","http://www.borgerisd.net/UserFiles/Servers/Server_143941/File/Parents%20and%20Students/2018%2019/STUDENT%20HANDBOOK%202018-19%20revised%20Aug%2020.pdf","safe/safety","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize safety hazards."
"Monroe-Woodbury High School","NY","https://www.mw.k12.ny.us/monroe-woodbury-high-school/about/handbook/#hs-book-dress","interfere with learning","  A student’s dress, grooming, and appearance, including hair style/color, jewelry, accessories, make-up and nails, shall:  Be safe, appropriate and not disrupt or interfere with the educational process."
"Quincy High","MA","http://quincypublicschools.com/qpsinfo/download/district/2018-2019/QPS-Student-Rights-2018-2019.pdf","safe/safety","Each student's hairstyle, appearance, and manner of dress, are determined by the student and his/her parents, unless these present a danger to the student's health or safety, interfere with school work, or create a classroom or school disruption."
"West Seneca East Senior High School","NY","https://docs.google.com/viewerng/viewer?url=https://www.wscschools.org//cms/lib/NY02205793/Centricity/Domain/21/Code+of+Conduct+18-19+Revised+10.2.18+-SF-NA.pdf","disruption/distraction"," Student dress shall in no way be so extreme as to be distracting or disruptive to the educational process of the school."
"East Coweta High School","GA","https://docs.google.com/document/d/1GRInMq8_HG36byLvHPDl9JefC2TpVR-6D1q5rah9bu0/edit","disruption/distraction"," Any clothing that is suggestive, advocates disobedience to society, or causes a possible disruption to school is not permitted."
"Banks County High School","GA","http://www.bankscountyhigh.com/uploads/3/7/4/7/37472747/student_handbook_2018-19.pdf","safe/safety","The administration in grades K-12 has the authority to determine inappropriate dress or dress that presents a distraction or safety hazard."
"New London High","WI","https://www.newlondon.k12.wi.us/parents/2018-19%20Parent%20Student%20Handbook.pdf","disruption/distraction"," When student dress constitutes a physical danger, or if it causes disruption or disturbance to the learning environment, the student will be asked to change clothing or remove accessories."
"Park Hill High","MO","https://www.parkhill.k12.mo.us/UserFiles/Servers/Server_62416/File/Folder-Web/Handbook/PHSD_Handbook_18-19.pdf","good taste"," Student dress should be in good taste."
"Strafford High","MO","https://www.straffordschools.net/userfiles/2/my%20files/strafford%20high%20school%20student%20handbook%202018%202019%202.pdf?id=6397","neat"," So many times in life, the cleanliness, neatness, and overall appearance of a person will determine his/her chances of getting that certain job or receiving the promotion that he/she really deserves."
"Sutton High School","MA","https://drive.google.com/file/d/1qZUDJvPyL1UoMAoy9_cO81MNydHIkWqh/view","health"," Any dress or adornment that creates a safety or health concern is prohibited."
"West Islip Senior High School","NY","https://sites.google.com/wiufsd.org/studenthandbook/home/high-school/hs-student-dress-code?authuser=0","appropriate/inappropriate"," All attire should Be safe, appropriate, and do not disrupt or interfere with the education process."
"Crater Academy of Health and Public Services","OR","http://blogs.district6.org/cahps/wp-content/uploads/2017/02/CraterCampusStudentHandbook.pdf","health"," Dress and grooming shall be clean and in keeping with health, sanitary and safety practices."
"Milton Senior High School","VT","https://4.files.edl.io/b0e2/10/15/18/152654-150264e1-5b21-4488-ac11-37e93d443760.pdf","appropriate/inappropriate"," Student dress cannot violate health or safety laws, clothing with underwear showing is inappropriate, avoid inappropriate clothing and jewelry."
"Port Jervis Senior High School","NY","https://campussuite-storage.s3.amazonaws.com/prod/1558562/da7ff762-7a28-11e8-98e1-0ac498f040b0/1821923/f448a9b2-ad56-11e8-937d-12d332735efe/file/HS%20full%20page%202018%202019%20student%20handbook%20(2).pdf","appropriate/inappropriate","Be safe, appropriate and not disruptive to the educational process."
"Thunder Ridge High School","KS","http://usd110.net/UserFiles/Servers/Server_3025288/File/HS%20Handbook%202018-2019.pdf","health"," Students are expected to wear clothing and to manage appearance in a manner that does not disrupt the educational setting, interfere with health or safety, or promote vulgarity and obscenity."
"Andrews High School","TX","https://drive.google.com/file/d/0B--FVrGjAXRmNGh6aDIzbHoxSnM/view","appropriate/inappropriate"," It is not the intention of these regulations to take the prerogatives of parents of determining what is appropriate dress and grooming for their children in accordance with their age and grade."
"East Haven High School","CT","https://docs.google.com/document/d/1eWjkdiL6rV_Mj1DTboxdqUxiXSncPEuRPpokCYUq_AI/edit","safe/safety"," Generally, the students are expected to dress and groom themselves for the business of school so as to neither distract other students or teachers, disrupt the education process, or pose a health or safety threat to anyone."
"Mohonasen Senior High School","NY","https://www.mohonasen.org/wp-content/uploads/2017/09/CodeofConduct_2017_forweb.pdf","clean","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions."
"Adm Senior High School","IA","http://www.admschools.org/wp-content/uploads/2018/08/2018-2019-HS-Parent-Student-handbook_755203fhl3k5o4ytv0g0tnu2choof.pdf","safe/safety"," The Board expects each student's attire and grooming to promote a positive, safe and healthy environment within the school."
"Dickinson High School","TX","http://www.dickinsonisd.org/upload/page/0381/DHS%20Handbook%2018-19.pdf","safe/safety","Dress and Grooming The district’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize safety hazards."
"Peabody Veterans Memorial High","MA","https://peabody.k12.ma.us/wp-content/uploads/2018/09/PVMHS-FINAL-HANDBOOK-ENGLISH-18.19.pdf","disruption/distraction"," The Student Council accepts the opinion that how a student is dressed is the responsibility of the parent except in the instance when the appearance and dress of the student can disrupt the educational environment."
"Lomira High","WI","https://www.lomira.k12.wi.us/Handbook/18-19%20Student%20handbook.pdf","health"," Affect the health or safety of any individual within the school"
"Azle High School","TX","https://www.azleisd.net/cms/lib6/TX01917633/Centricity/domain/4/parents/2018-2019/PAR180803AHS18-19StudentHandbook.pdf","health"," Student’s dress shall not create a health hazard to the student’s safety or to the safety of others."
"Rondout Valley High School","NY","https://www.rondout.k12.ny.us/UserFiles/Servers/Server_719363/File/18-19/Code%20of%20Conduct%20BOE%20Adopted%206-19-2018.pdf","safe/safety"," Be safe, appropriate, and not disrupt or interfere with the educational process."
"West Plains Sr. High","MO","https://www.zizzers.org/cms/lib/MO01001590/Centricity/Domain/180/HS%20Handbook%202018-19.pdf","clean","DRESS CODE All students are expected to come to school clean and neat in appearance."
"Higley High School","AZ","https://www.husd.org/cms/lib/AZ01001450/Centricity/Domain/740/CodeofConduct.pdf","health"," Students should dress in a manner that, in addition to the following guidelines, takes into consideration the educational environment, safety, health, and welfare of self and others."
"Spencerport High School","NY","http://www.spencerportschools.org/UserFiles/Servers/Server_432258/File/2018-19%20Code%20of%20Conduct.pdf","appropriate/inappropriate"," Be safe, appropriate and not disrupt or interfere with the educational process (e."
"West Delaware High School","IA","http://www.w-delaware.k12.ia.us/Pages/Documents/studenthandbook.pdf","disruption/distraction","The board believes inappropriate student appearance may cause material and substantial disruption to the school environment or present a threat to the health and safety of students, employees and visitors."
"Hornell Senior High School","NY","http://www.hornellcityschools.com/uploadeddocs/studenthandbook.pdf","health"," Attire should not be injurious to the health, safety, or welfare of our students; nor should one’s dress be disruptive to the educational process."
"University City High","CA","https://www.sandiegounified.org/schools/sites/default/files_link/schools/files//schools/university_city/UCHS_docs/1819UCHSStudentParentHandbook1031.pdf","modest/modesty"," It is expected that modesty and good taste should govern all school clothing selections."
"Rham High School","CT","http://www.rhamhs.reg8.k12.ct.us/UserFiles/Servers/Server_291198/File/High%20School/2018/StudentHandbook2018-2019%20082118.pdf","appropriate/inappropriate","All people at RHAM High School are to be neat, clean, and appropriately dressed for the learning environment."
"Pekin Community High School","IA","http://www.pekincsd.org/pages/uploaded_files/2018-19%20Pekin%207-12%20Student%20Handbook.pdf","disruption/distraction"," Any form of dress or hairstyle which is considered contrary to good hygiene or which is distracting or disruptive to the school environment will not be permitted."
"Weston Ranch High","CA","http://www.mantecausd.net/home/showdocument?id=16689","disruption/distraction","Appropriate dress is necessary for the health, safety, and undisrupted operation of the school and classes."
"Ponca City High School","OK","https://docs.google.com/viewerng/viewer?url=https://www.pcps.us//cms/lib/OK02209251/Centricity/Domain/529/STUDENTHB2018-19website.docx","safe/safety"," Our goal is multifaceted: to encourage a sense of modesty, to create a safe school environment conducive to learning, and most importantly, to help young people learn to make good decisions about the appropriateness of dress for different occasions."
"East Hampton High School","NY","http://www.easthamptonschools.org/Assets/EHHS_Links/081518_Code_of_Conduct_2018-19.pdf?t=636699220681230000","safe/safety"," Be safe, appropriate and not disrupt, or interfere with the educational process."
"Barbers Hill High School","TX","https://www.bhisd.net/uploaded/parents/Student_Handbooks/Dress_Code_High_School_-_ADA_Compliant.pdf","health"," If it tends to distract or cause a student to become a disturbing influence or tends to jeopardize the health or safety of students, it will be prohibited."
"Silver Valley High","CA","http://www.svusdk12.net/UserFiles/Servers/Server_176283/File/FORMS/2018_19%20Parent%20Student%20Handbook%20master%20document.pdf","disruption/distraction"," Student's clothing must not present a health or safety hazard or a distraction which would interfere with the educational process."
"North Eugene High School","OR","https://docs.google.com/viewerng/viewer?url=https://nehs.4j.lane.edu/wp-content/uploads/2018/10/NEHS-Parent-Student-Handbook-2018_19.pdf&hl=en_US","clean"," Students must be neat, clean, and appropriate for school In addition, no students’ clothing should be unduly revealing."
"Northbridge High","MA","https://drive.google.com/file/d/0B5Kk_e5XgnTiczhsTHVZcWJUeUhnVVZNeGFFbXpYeFliM2N3/view","disruption/distraction"," Dress that distracts or disrupts the educational process and mission of the school is prohibited."
"Hinton High School","OK","http://hintonschools.net/uploads/2018-hs-handbook.pdf","appropriate/inappropriate","Low cut tops or blouses are inappropriate."
"Walpole High","MA","http://walpolewhs.ss5.sharpschool.com/common/pages/DisplayFile.aspx?itemId=68749127","health","Community standards for health, safety, and appropriateness will be enforced."
"Park Vista Community High School","FL","https://www.palmbeachschools.org/students/wp-content/uploads/sites/24/2018/08/FY19StudentFamilyHandbookv8-14-18.pdf","disruption/distraction"," Student attire or grooming that substantially or potentially disrupts the educational environment or school program creates a distraction, which interferes with the educational process or classroom activity, or presents a health or safety hazard to the students or school community is not permitted."
"Dexter High","MO","https://drive.google.com/file/d/1CJ3UDbrtD7H5ZgfMGOOpEQZTfKKEUNDK/view","modest/modesty"," Apparel is expected to conform to reasonable student standards of modesty, and as such, no excessive or inappropriate areas of skin or undergarments may be exposed."
"Carmel High School","NY","https://www.boarddocs.com/ny/carmel/Board.nsf/goto?open&id=89S24E768C3E","safe/safety"," A student’s dress, grooming and appearance, including hair style/color, jewelry, make-up and nails, shall: Be safe, appropriate and not disrupt or interfere with the educational process."
"Alberton High School","MT","http://alberton.k12.mt.us/wp-content/uploads/2018/09/Handbook-8-21-Final1.pdf","appropriate/inappropriate","Alberton School is a professional educational setting and we encourage students to develop awareness of appropriate behavior and attire at all times."
"Madras High School","OR","http://www.jcsd.k12.or.us/sites/jcsd.k12.or.us/files/files/Rights%20and%20Responsibilities%20Handbook%202018-2019%20Final.pdf","health"," Dress and personal grooming shall be clean in keeping with health, sanitary practices."
"Norwood High","MA","https://campussuite-storage.s3.amazonaws.com/prod/1213978/583ade96-581b-11e7-99ef-124f7febbf4a/1819900/229997d2-aafe-11e8-a0b0-0a3147dd6928/file/NHSSTUDENTHANDBOOK2018-2019.pdf","appropriate/inappropriate"," Since the primary function of school is educational, not recreational or social, student dress should be appropriate for the school environment and not cause a distraction within that setting."
"East Laurens High School","GA","https://www.lcboe.net/userfiles/121/my%20files/elhs_student_handbook_2018_2019.pdf?id=553497","clean","Good personal appearance, appropriate dress, proper behavior, and cleanliness are vital to each member of the school community."
"Bay Shore Senior High School","NY","https://www.bayshoreschools.org/files/filesystem/english%20code%2018-19.pdf","respect/disrespect"," We have established these standards to create an atmosphere of selfrespect and respect for others."
"Palacios High School","TX","https://drive.google.com/file/d/0B7v8SBym9IfFRUxKa2Z3SG4xUWM/view","safe/safety","The district dress code is established to teach grooming and hygiene, instill discipline, prevent disruption, avoid safety hazards, and teach respect for authority."
"North Douglas High School","OR","https://docs.wixstatic.com/ugd/b1bba2_34de547f444d4a3c8c98ac4e4b9865e5.pdf","disruption/distraction"," The principal shall have the prerogative of prohibiting specific items of clothing, which in his/her judgment, distract from the educational process."
"Windthorst High School","TX","http://www.windthorstisd.net/Uploads/50/misc/f285919.pdf","disruption/distraction","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize safety hazards."
"Auburn Senior High","MA","https://campussuite-storage.s3.amazonaws.com/prod/1558541/87612908-224d-11e8-88ef-0a5d93e9ef60/1826872/a582b36c-b83d-11e8-8e71-0a8a303a66ce/file/2018%20-%202019%20Auburn%20High%20School%20Student%20Handbook.pdf","safe/safety","Clothing that presents as a potential safety or health hazard is unacceptable."
"Lebanon High School","OR","http://high-school.lebanon.k12.or.us/media/sites/9/2018/09/2018-2019-LHS-Student-Handbook.pdf","disruption/distraction","The Lebanon High School dress code is established to promote appropriate grooming and hygiene, prevent disruption and avoid safety hazards."
"Pekin Community High School","IA","http://www.pekincsd.org/pages/uploaded_files/2018-19%20Pekin%207-12%20Student%20Handbook.pdf","safe/safety"," Inappropriate student appearance may cause material and substantial disruption to the school environment or present a threat to the health and safety of students, employees and visitors on school grounds."
"Berryville High School","AR","http://s3.amazonaws.com/scschoolfiles/598/2018-19_high_school_and_middle_school_handbook-final_copy_1.pdf","clean"," Students are expected to be neat, clean, and appropriately dressed for all classes and school sponsored events."
"West Seneca West Senior High School","NY","https://docs.google.com/viewerng/viewer?url=https://www.wscschools.org//cms/lib/NY02205793/Centricity/Domain/2476/Student+Handbook+2018.doc","disruption/distraction"," Student dress shall in no way be so extreme as to be distracting or disruptive to the educational process of the school."
"Leavenworth Sr High","KS","http://lusdlhs.ss18.sharpschool.com/UserFiles/Servers/Server_433908/Image/2018-2019%20LHS%20Student%20Handbook%20FINAL.pdf","modest/modesty"," The body must be sufficiently covered to ensure modesty (some examples of inappropriate clothing include: pajama pants, bare midriffs or shirts displaying navel, bare chests, extremely short shorts, overly short skirts, or plunging necklines, baggy or sagging jeans showing the posterior, leggings that are transparent in nature, or other articles of clothing which cause disruption or do not meet administrative approval."
"Mahopac High School","NY","https://echalk-slate-prod.s3.amazonaws.com/private/schools/1830/site/fileLinks/49878972-307f-404e-80fd-bf747c5b16b9?AWSAccessKeyId=AKIAJSZKIBPXGFLSZTYQ&Expires=1858363622&response-cache-control=private%2C%20max-age%3D31536000&response-content-disposition=%3Bfilename%3D%22Student%2520Handbook%25202018-2019%2520doc%2520%25201.pdf%22&response-content-type=application%2Fpdf&Signature=4snQ7zJnjxTA1gOQ3J98AGAvqLk%3D","appropriate/inappropriate"," For the short time you are a student during the year, dress appropriately."
"Cameron High","MO","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/201085/2018-2019_CHS_Student_Handbook.pdf","good taste","The Board of Education expects student dress and grooming to be neat, clean and in good taste so that each student may share in promoting a positive, healthy, and safe atmosphere within the school district."
"Sweetwater High School","TX","https://static1.squarespace.com/static/509296e8e4b08a6452e71191/t/5b7490dcaa4a99d4b84a0035/1534366128240/18-19+Secondary+Student+Handbook+FINAL.pdf","appropriate/inappropriate","Clothing must be appropriately sized and worn at the waistline."
"Mcgregor High School","TX","http://mhs.mcgregor-isd.org/UserFiles/Servers/Server_454797/File/StudentHandbook-201819Rev.pdf","disruption/distraction","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize safety hazards."
"Lynnfield High","MA","https://www.lynnfield.k12.ma.us/files/4415/3600/1377/2018-2019_LHS_Student_Handbook.pdf","health"," Personal appearance dress or grooming must not disrupt the educational process or threaten the health or safety of any individual."
"Elsberry High","MO","http://www.elsberryschools.com/UserFiles/Servers/Server_128419/File/Elsberry%20High%20School%20student%20handbook%202018-19.pdf","neat"," It is our belief that cleanliness and neatness in dress enhance the school environment."
"Wausaukee High","WI","http://wausaukee-wi.schoolloop.com/file/1288431129414/1404531266365/2589608347096876926.pdf","modest/modesty"," Students are encouraged to ask themselves the following questions when choosing what to wear to school: ● Does my outfit promote modesty and respectability? "
"Symmes Valley High School","OH","http://docs.wixstatic.com/ugd/580a74_e9e8fc18014741e5b1325bcf34194d25.pdf","health"," Additionally, any dress or appearance that interferes with the health, safety, or educational opportunity of students will be prohibited."
"Darlington High","WI","https://www.darlington.k12.wi.us/Parent-Student%20Handbook%20%202018-2019wp1.pdf","health"," Trust is put with students with the understanding they will dress in a manner, which is not distractive, or constitute a health or safety hazard."
"Alta Loma High","CA","http://cjuhsd-ca.schoolloop.com/file/1325749002465/1309101244690/3354919983975270997.pdf","clean"," The District believes that clothing worn on campus must promote cleanliness, safety, and decency while contributing to the educational atmosphere of the school."
"University City High","CA","https://www.sandiegounified.org/schools/sites/default/files_link/schools/files//schools/university_city/UCHS_docs/1819UCHSStudentParentHandbook1031.pdf","good taste"," Modesty and good taste should govern all school clothing selections."
"Depew High School","NY","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/217783/Code_of_Conduct_2018-2019_ADA.pdf","interfere with learning"," Be safe, appropriate and not disrupt or interfere with the educationalprocess."
"Siuslaw High School","OR","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/236785/2018-2019_Siuslaw_HS_Student_Handbook.pdf","safe/safety"," Students may generally dress as they please, but there are some restrictions in keeping with basic health and safety standards, as well as minimizing disruptions to the learning environment."
"Newport Middle High School (High)","NH","https://docs.google.com/document/d/14MbwkTzip7iILD0Vkc0vLlKO0iY50M4DZ8T8XgvIH7I/edit","modest/modesty"," All shirts must be modest in appearance, not dipping too far below the neckline."
"Aliso Niguel High","CA","http://anhs-capousd-ca.schoolloop.com/file/1528960945085/1374485022849/3315671160290658881.pdf","safe/safety","The Board has established a dress code to provide a safe and unhindered learning environment for all CUSD students."
"Fontana High","CA","http://www.fusdweb.com/sites/hs/abmiller/Shared%20Documents/Student%20Handbook.pdf","disruption/distraction","Every student has the right to attire himself/herself how they wish -- as long as practices of good health and safety are observed, and there is no disruption of the educational process."
"Daniel Hand High School","CT","https://resources.finalsite.net/images/v1537382966/madison/a6ml3xn7reg13hd3su8j/DHHSHandbook18-19.pdf","appropriate/inappropriate"," Students dressed inappropriately will not be admitted to class until they adhere to the dress code expectations."
"Siuslaw High School","OR","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/236785/2018-2019_Siuslaw_HS_Student_Handbook.pdf","interfere with learning"," Disruption or interference with the classroom learning environment"
"Park Vista Community High School","FL","https://www.palmbeachschools.org/students/wp-content/uploads/sites/24/2018/08/FY19StudentFamilyHandbookv8-14-18.pdf","interfere with learning"," Student attire or grooming that substantially or potentially disrupts the educational environment or school program creates a distraction, which interferes with the educational process or classroom activity, or presents a health or safety hazard to the students or school community is not permitted."
