"schoolName","state","link","item","extract"
"Assets","TX","https://www.alvinisd.net/cms/lib/TX01001897/Centricity/Domain/281/2018-2019%20Handbook%20revised.pdf","disruption/distraction","The District's dress code is established to teach grooming and hygiene, instill discipline and  modesty, prevent disruption, avoid safety hazards, and provide a successful learning  environment."
"Atascadero High","CA","http://www.atas.k12.ca.us/ausd/ahs/pdfs/ahs/2018-19%20Handbook.pdf","clean"," All students are expected to wear clothes that are clean, neat, properly fitted, and in good repair."
"George Mason High","VA","https://docs.google.com/document/d/1n8ChseJmEDbldwiDZcR2t2TRebzNkYUcg2hC80ad0EM/edit#heading=h.ipk4bpz3tons","health","  Students may not wear any clothing or apparel that is deemed overly revealing, unsafe, dangerous, or a health hazard by school authorities."
"Huntley Project High Schl","MT","https://huntley.k12.mt.us/ourpages/auto/2016/6/17/26402918/Student%20Handbook%202018-2019.pdf","disruption/distraction"," Hats and caps or distracting head ornaments are to be removed indoors during school hours."
"Athens High","WI","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/196227/18-19_hs_handbook.pdf","appropriate/inappropriate"," Students are expected to dress appropriately for school."
"Iraan High School","TX","http://isisd.esc18.net/Campuses/Handbooks/2018-2019/2018-2019%20Student%20Handbook.pdf","safe/safety","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize safety hazards."
"Pekin Community High School","IA","http://www.pekincsd.org/pages/uploaded_files/2018-19%20Pekin%207-12%20Student%20Handbook.pdf","neat"," Students will be expected to keep themselves well groomed and neatly dressed at all times."
"Burkburnett High School","TX","https://cdn2.hubspot.net/hubfs/2970667/Site-Wide%20Content/Student%20Handbook/18-19%20Student%20Handbook%20Final.pdf?t=1542304009079","safe/safety","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize safety hazards."
"Monte Vista High","CA","http://mvhs.schoolloop.com/file/1211910099348/1440916959896/5254516157795687111.pdf","neat"," All students and faculty are expected to be suitably groomed and to wear clothing that is neat, clean, and appropriate for school and for school events."
"Lomira High","WI","https://www.lomira.k12.wi.us/Handbook/18-19%20Student%20handbook.pdf","safe/safety"," Affect the health or safety of any individual within the school"
"Mounds High School","OK","http://www.moundsps.com/uploads/hs-2018-handbook.pdf","disruption/distraction"," Dress and grooming which is in any way disruptive to the operation of the school will not be permitted."
"Porum High School","OK","https://s3.amazonaws.com/scschoolfiles/162/2018-2019_porum_high_school_handbook.pdf","health"," Hairstyles: Which are distracting, or which constitute a safety or health hazard are prohibited."
"Edison Academy","MA","https://resources.finalsite.net/images/v1537831602/brockton/kygcweececxkmb4vzyt0/EdisonAcademyStudentHandbook.pdf","safe/safety","Students should be dressed so that it does not interfere with their health, safety and welfare or is not distracting to the educational process:"
"Wharton High School","TX","http://www.whartonisd.net/upload/page/0078/Wharton%20ISD%20Student%20Handbook%20-%202018-19%20school%20year.pdf","appropriate/inappropriate"," Given that school is the student’s environment where he/she will learn social skills and the proper way to interact with peers and persons of authority, they are expected to dress in a way appropriate to that environment."
"Olton High School","TX","https://drive.google.com/file/d/18_Bs7Ml7YFK3fHrwEVmXkWDebKjHVF8M/view","interfere with learning"," The District prohibits any clothing or grooming that in the principal’s judgment may reasonably be expected to cause disruption of or interference with normal school operations."
"Crater Academy of Health and Public Services","OR","http://blogs.district6.org/cahps/wp-content/uploads/2017/02/CraterCampusStudentHandbook.pdf","modest/modesty"," Bizarre or immodest dress and grooming will not be permitted, it disrupts the teaching/learning process."
"Athol High","MA","http://www.arrsd.org/wp-content/uploads/2018/08/AHS-Student-Handbook-2018-2019.pdf","safe/safety"," They have the right to determine how the student will dress providing that attire is not destructive to school property, complies with requirements for health and safety, and does not cause disorder or disruption."
"Taconic High","MA","http://taconic.pittsfield.net/for_students/student_policies/appearance","safe/safety"," Clothing must always conform to safety standards of the particular class."
"Laker High School","MI","https://lakerschools.org/wp-content/uploads/2018/10/STUDENT-HANDBOOK-2018-2019.pdf","health"," attend school if their personal hygiene or clothing endangers their own health or safety or that of others, or interferes in any way with the educational process."
"Riverdale High School","FL","https://rdh.leeschools.net/UserFiles/Servers/Server_696011/File/Our%20Students/Student%20Handbook/5FDED264A30BBC70B98435F95C61D18C.student-handbook-packet-2017-18-edited.pdf","clean"," Students must be neat, clean and properly dressed."
"Shelby Co High Sch","AL","http://www.shelbyed.k12.al.us/schools/schs/docs/18-19-handbook.pdf","disruption/distraction"," Clothing, hairstyles, and accessories worn to school should not be a distraction to others."
"Oologah-Talala High School","OK","http://www.oologah.k12.ok.us/vimages/shared/vnews/stories/521e4512053f6/OTPS%20Secondary%20Student%20Handbook%202018.2019.docx.pdf","disruption/distraction","A student’s appearance should not distract anyone from the important task of learning."
"Walpole High","MA","http://walpolewhs.ss5.sharpschool.com/common/pages/DisplayFile.aspx?itemId=68749127","appropriate/inappropriate","Community standards for health, safety, and appropriateness will be enforced."
"Medford High","MA","https://docs.google.com/document/d/1auY6hSccGFQomcObBwsblsTCbhI96uuLPq65zBzL4RU/edit","disruption/distraction"," Students shall have the right to express themselves by the dress and presentation of their own choosing provided student's personal dress and appearance does not violate reasonable standards of health, safety and cleanliness and will not cause a disruption of the educational process, and is not offensive and/or does not endanger the health, safety and welfare of the student or others."
"Dexter High","MO","https://drive.google.com/file/d/1CJ3UDbrtD7H5ZgfMGOOpEQZTfKKEUNDK/view","disruption/distraction"," Further, no clothing or personal grooming that disrupts, or can be forecasted to disrupt, the educational environment is permitted."
"Assets","TX","https://www.alvinisd.net/cms/lib/TX01001897/Centricity/Domain/281/2018-2019%20Handbook%20revised.pdf","modest/modesty","The District's dress code is established to teach grooming and hygiene, instill discipline and  modesty, prevent disruption, avoid safety hazards, and provide a successful learning  environment."
"Wharton High School","TX","http://www.whartonisd.net/upload/page/0078/Wharton%20ISD%20Student%20Handbook%20-%202018-19%20school%20year.pdf","disruption/distraction","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize safety hazards."
"Washtenaw International High School","MI","https://www.wihi.org/uploads/8/9/2/8/8928442/studentguide_18-19.pdf","safe/safety"," The school district and individual schools are responsible for seeing that student attire does not interfere with the health or safety of any student, and that student attire does not contribute to a hostile or intimidating atmosphere for any student."
"Bremond High School","TX","http://www.bremondisd.net/vimages/shared/vnews/stories/4c4764dd0bf4c/Handbook2%20%284%29.pdf","good taste"," Students are expected to dress appropriately and in good taste with concern given to the safety and wellbeing of students."
"Tipton High School","IA","https://docs.wixstatic.com/ugd/f81b7c_371ea469f6544c0385804959ab66d855.pdf","appropriate/inappropriate","Student dress during the school day must be appropriate for a high school educational setting."
"Cedar City High","UT","https://chs.ironk12.org/general/Handbook%202016-17.pdf","disruption/distraction"," If, in the opinion of the administration, the individual’s dress or grooming is harmful or distracting to the education process, the student will be asked to discontinue wearing said clothing."
"Potosi High","WI","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/287873/Student_Handbook_4K-12_2018-2019.pdf","disruption/distraction","The dress and grooming of the Potosi Public Schools students shall contribute to the health and safety of the individual, promote an educational environment, and not disrupt the educational activities and processes of the school."
"Brookfield High","MO","http://www.hs.brookfield.k12.mo.us/UserFiles/Servers/Server_56335/File/Student%20Handbook/18-19%20Student%20Handbook.doc%20-%20Google%20Docs.pdf","disruption/distraction"," Jewelry and chains that are distracting or dangerous will not be allowed."
"Croswell-Lexington High School","MI","https://www.croslex.org/downloads/student_services/student_handbook_grades_5-12_2018-2019_rev082018.pdf","appropriate/inappropriate"," Any fashion that disrupts the educational process, presents a safety risk, or is not appropriate in the opinion of the administration will not be permitted."
"Binghamton High School","NY","http://www.binghamtonschools.org/UserFiles/Servers/Server_512723/File/For%20Parents/Code%20of%20Conduct/BCSD%20Code%20of%20Conduct_7-26-17.pdf","safe/safety"," Students are required to attend school in appropriate dress, grooming, and appearance that meet health and safety standards, and that do not interfere with the educational process."
"Irvine High","CA","https://irvinehigh.iusd.org/about/guidelinesprocedures/handbook-policies","disruption/distraction","Appropriate dress and personal appearance at school and school-related activities shall not include any clothing, attire, or accessory that by its manner of appearance, arrangement, trademark,  fit, or any other attribute, is unsafe; disruptive;  unhealthful; obscene;   profane;  ethnically,  racially or sexually degrading;  libelous or slanderous; exposing undergarments; provocative or revealing; advocating unlawful behavior or illegal substances; or suggesting or promoting any affiliation with any street gang or other group that commits unlawful acts."
"Pella High School","IA","https://docs.google.com/document/d/17WsufX8F9gwHJg2yczc9B0cMkirWqJERzFGEzgUSIXU/edit#heading=h.81nd0n5g0ni8","health"," If the student’s dress or hygiene interferes with the normal classroom procedure, health of the person involved, and/or health or welfare of other students, it shall be the duty of any staff member to address the issue in an appropriate manner."
"Miller Place High School","NY","https://www.millerplace.k12.ny.us/cms/lib/NY02208586/Centricity/domain/12/quicklinks/CODE-OF-CONDUCT-2018-19-Final7-17-18.pdf","appropriate/inappropriate","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions."
"Leveretts Chapel High School","TX","https://drive.google.com/file/d/1tWuD5yvx3BdiCazouqCnVxzRwlKs51YY/view","disruption/distraction"," blue, green, purple, pink, bright red, and bleached blonde) • No excessive or distracting makeup • No racially related symbols, emblems, pictures, words, slogans."
"Marshalltown High School","IA","https://www.marshalltown.k12.ia.us/media/cms/StudentHandbook201620172_B8986C40C5EEA.pdf","disruption/distraction","Marshalltown Community School District’s goal is to provide a safe and supportive learning environment where students and staff focus on student achievement without distractions."
"Kelso High School","WA","https://docs.google.com/document/d/1LTLfM3rRojl7mlb0IC2JTW60ZA4wSry7uyxM6BOhyCE/edit","appropriate/inappropriate","Protection of the Learning Environment: Students’ presence should be safe and appropriate and should not disrupt the educational process."
"Red Hook Senior High School","NY","https://www.redhookcentralschools.org/cms/lib/NY01000233/Centricity/Domain/458/WEB%202018-2019%20RHHS%20Student%20Handbook.pdf","interfere with learning"," be safe, appropriate and not disrupt or interfere with the educational process"
"Hudson High","WI","https://docs.google.com/document/d/1HG6nG6tRPJX_dEPKUzwpHiEPDrzObO3IntnwTgXPA5s/edit","disruption/distraction",") PROHIBITED ITEMS INCLUDE: Students will not wear clothing that defames, insults, threatens, distracts, harasses or injures any racial or cultural groups or individuals."
"Farmington High","NM","http://fhs.fms.k12.nm.us/handbook1819.pdf","disruption/distraction"," However, when in the judgment of the principal, or his or her designee, a student's appearance or mode of dress disrupts the educational process, constitutes a threat to health or safety or is otherwise contrary to the school’s objective to maintain a work and school environment, which is free of offensive and hostile conduct, the student may be required to make modifications."
"Senior High School","OK","https://s3.amazonaws.com/scschoolfiles/633/ecphs_handbook1819final.pdf","disruption/distraction"," Inappropriate words, alcohol/drug references, vulgar connotations/innuendo, or anything that would create a distraction/disruption will be worn."
"Carter County High School","MT ","http://www.ekalaka.net/index.php/students/student-handbook","interfere with learning","Anything that creates a disturbance or interference to the educational environment will be deemed inappropriate."
"Fountain Hills High School","AZ","https://drive.google.com/file/d/0B2tdn8HoGYhLMVFqbDBJazVKX1E/view","disruption/distraction","Student dress, personal appearance or conduct shall not disrupt nor distract from instructional procedures, school-sanctioned social functions or the disciplinary control of the teachers."
"Judith Gap High School","MT","https://docs.google.com/document/d/1jk1vC6zX40S-QxBZgzh6Tzr_E8B7ERC-SDZmkMRAVJs/edit","disruption/distraction","  Even though the schools will allow a wide variety of clothing styles, dress and grooming must not materially or substantially disrupt the educational process of the school or create a health or safety hazard for students, staff, or others."
"Lawson High","MO","https://www.lawsoncardinals.org/sites/lawsoncardinals.org/files/files/Private_User/schmitzr/HS_Lawson%20Handbook2018-19_2.pdf","health"," The rights of individuals to dress and groom according to personal preference is recognized, but only within the framework where dress and grooming does not disrupt the educational environment or raise safety or health concerns."
"Cedar City High","UT","https://chs.ironk12.org/general/Handbook%202016-17.pdf","modest/modesty","No clothing deemed immodest in appearance because of excessive body exposure is allowed."
"Horn High School","TX","https://resources.finalsite.net/images/v1536563024/mesquiteisdorg/xeqmsqmfntvbb4pezjyk/ENGLISH_StudentHandbook2018-2019.pdf","appropriate/inappropriate"," While it is inevitable that there will be differences of opinion regarding the appropriateness of a student’s dress and grooming, the decision of the building principal is final and cannot be appealed further."
"Hicksville High School","NY","https://www.hicksvillepublicschools.org/parents/code_of_conduct","disruption/distraction","Be safe, appropriate and not disrupt or interfere with the educational process."
"Little Miami High School","OH","https://www.littlemiamischools.com/media/documents/LMHS%20HANDBOOK%202018%202019.pdf","good taste"," All clothing is expected to be in good taste, neat and clean."
"Northbridge High","MA","https://drive.google.com/file/d/0B5Kk_e5XgnTiczhsTHVZcWJUeUhnVVZNeGFFbXpYeFliM2N3/view","good taste"," The basic guidelines of decency, modesty, good taste, cleanliness and practicality should prevail."
"La Feria High School","TX","http://hs.laferiaisd.org/UserFiles/Servers/Server_82225/File/Parent%20Information/La%20Feria%20HS%20Student%20Handbook%202018-19.pdf","disruption/distraction","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize safety hazards."
"Housatonic Valley Regional High School","CT","http://www.hvrhs.org/wp-content/uploads/2018/08/studenthandbookweb1819_081418.pdf","neat","Students must be suitably dressed and maintain high standards of neatness and appropriateness; dress and appearance are crucial in maintaining a proper and healthful educational atmosphere."
"Teague High School","TX","https://www.teagueisd.org/site/handlers/filedownload.ashx?moduleinstanceid=748&dataid=506&FileName=Teague%20High%20School%20Student%20Handbook%202018-19.pdf","modest/modesty"," The school has the right to ask students to change their dress, or hairstyle/color if it is of such nature as to disrupt the maintenance of order, modesty, and cleanliness, or to attract attention by dressing in a distracting manner."
"Creston High School","IA","https://drive.google.com/file/d/19tPOQYN9d2vAz5pl-6Ch9jYCKuuSmWcd/view","appropriate/inappropriate","Students are expected to dress in a fashion that reflects good taste and a style appropriate for a school day."
"Van Horn High","MO","https://www.isdschools.org/wp-content/uploads/2018/07/2018-19-ISD-High-Schools-Student-Handbook.pdf","disruption/distraction"," The way a student chooses to dress should not be distraction or a disruption to the learning environment of others."
"Nantucket High","MA","https://docs.google.com/viewerng/viewer?url=https://www.npsk.org//cms/lib/MA01907678/Centricity/Domain/206/NHSParentStudentHandbook2018-2019.pdf","health"," A dress code policy is necessary in order to protect the health and safety of the school environment and to foster students’ success in a positive manner."
"Glasgow High School","MT","https://docs.google.com/document/d/1P--KR2mxrlH2Acu9CM0G-1W-ZkYjWFttg5pcSkV5i1Y/edit","disruption/distraction","   It is expected that students will dress in a manner that is not disruptive to an atmosphere of learning."
"Dewitt High School","AR","http://dewittschooldistrict.net/students/related/handbooks/DHS%20Handbook%202018-19.pdf","disruption/distraction"," Anything that disrupts the educational process may be banned or limited by the administration."
"Lebanon High School","OR","http://high-school.lebanon.k12.or.us/media/sites/9/2018/09/2018-2019-LHS-Student-Handbook.pdf","appropriate/inappropriate","The Lebanon High School dress code is established to promote appropriate grooming and hygiene, prevent disruption and avoid safety hazards."
"Marlin High School","TX","https://www.marlinisd.org/UserFiles/Servers/Server_149374/File/Marlin/High%20School/MHS%20Dress%20Code%202018-19.docx.pdf","interfere with learning"," The school also prohibits any clothing or grooming that in the principal’s judgment may cause disruption of or interference with normal operations."
"Arcadia High School","NY","https://drive.google.com/file/d/1sOvNNVYVnuoAS5befVZ0U6cqpughDtOM/view","clean","All students are expected to give proper attention to personal cleanliness and to dress in a manner that is appropriate for school and school-related functions."
"Thomas Jefferson High School","CO","http://tjhs.dpsk12.org/dress-code/","safe/safety","The student dress policy is an essential aspect of creating a school environment that is professional, safe, conducive to learning, and free from unnecessary disruption."
"Crater Academy of Health and Public Services","OR","http://blogs.district6.org/cahps/wp-content/uploads/2017/02/CraterCampusStudentHandbook.pdf","clean"," Dress and grooming shall be clean and in keeping with health, sanitary and safety practices."
"Fonda-Fultonville Senior High School","NY","https://www.fondafultonvilleschools.org/hs/student-dress-code/","disruption/distraction"," A student’s dress, grooming and appearance, including hair style/color, jewelry, make-up, body art, and nails, shall:  Be safe, appropriate and not disrupt or interfere with the educational process."
"Pella High School","IA","https://docs.google.com/document/d/17WsufX8F9gwHJg2yczc9B0cMkirWqJERzFGEzgUSIXU/edit#heading=h.81nd0n5g0ni8","interfere with learning"," If the student’s dress or hygiene interferes with the normal classroom procedure, health of the person involved, and/or health or welfare of other students, it shall be the duty of any staff member to address the issue in an appropriate manner."
"Nevada High School","IA","https://www.nevadacubs.org/wp-content/uploads/2018/07/18-19NHSHandbookFinal.pdf","respect/disrespect","All students will be expected to dress in a clean and respectable manner."
"Rosemont High","CA","https://rosemont.scusd.edu/sites/main/files/file-attachments/rhs_staff_handbook_18-19_rev_9-1-18.pdf","disruption/distraction"," Please review the examples of inappropriate dress below as the administration reserves the right to exclude any items of apparel or accessories that may be disruptive to school activities."
"Illinois Valley High School","OR","https://drive.google.com/file/d/1LljdRljlCyUwaHuo-RrSf8loda_bMzN9/view","disruption/distraction"," You are asked to wear school clothing that contributes to a positive school climate and does not distract from our mission."
"Hanover High","KS","http://www.usd223.org/UserFiles/Servers/Server_3046634/File/Barnes/2018-19/STUDENT%20HANDBOOK%20(2018-19)%20Bd.%20Approved%20(4-12-18).pdf","disruption/distraction"," All shorts and skirts must be of a length that does not cause a distraction to the classroom or hallway environment."
"Cornwall Central High School","NY","https://www.cornwallschools.com/ourpages/auto/2016/7/27/49089875/CODE%20OF%20CONDUCT%20Revised%20July%202018.pdf","appropriate/inappropriate","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions."
"Wayzata High","MN","https://drive.google.com/file/d/1y6f2jjx647fCNopuabd4lNnnyvTRpm4O/view","appropriate/inappropriate"," Appropriate clothing includes clothing that is reasonably modest, commonly decent, covers the body well and is appropriate for school."
"Edison Academy","MA","https://resources.finalsite.net/images/v1537831602/brockton/kygcweececxkmb4vzyt0/EdisonAcademyStudentHandbook.pdf","health","Students should be dressed so that it does not interfere with their health, safety and welfare or is not distracting to the educational process"
"Almont High School","MI","http://www.almontschools.org/UserFiles/Servers/Server_4922/File/High%20School/Handbooks/2018-19%20HS%20Student%20Handbook-final%203.pdf","health"," In general, any styles of dress or grooming which are distracting tend to create a disturbance in school, or that are likely to interfere with the health, safety and welfare of self or other persons in the building, will be deemed inappropriate."
"Taft Union High","CA","https://www.taftunion.org/site/handlers/filedownload.ashx?moduleinstanceid=117&dataid=322&FileName=2018-19%20Student%20Handbook%20Eng-Sp.pdf","clean"," Daily attire need not be expensive to be attractive and entirely acceptable, but all students must wear clothing which is neat, clean and safe."
"Rancho Verde High","CA","https://docs.google.com/document/d/1eHpEtMkiruXoz-lqAoLTK-9Y4SFXUGB7mXCU62EE5Ko/edit","health"," In all cases, neatness, health and safety, and appropriateness shall be observed."
"Glasgow High School","MT","https://docs.google.com/document/d/1P--KR2mxrlH2Acu9CM0G-1W-ZkYjWFttg5pcSkV5i1Y/edit","neat","Students should maintain a tradition of dressing neatly, respectfully, and attractively during school hours and at school functions."
"Fairview High School","PA","http://www.fairviewschools.org/UserFiles/Servers/Server_1466413/File/Fairview%20High%20School/Student%20Handbook/2018-2019%20Student%20Handbook.pdf","disruption/distraction"," Dress or grooming that is overly distracting and therefore disruptive to the educational process is prohibited."
"Skyview High School","WA","https://skyview.vansd.org/download/skyview-student-handbook/?wpdmdl=714&ind=1536263502661","safe/safety","The following guidelines for student dress and appearance are provided to ensure a positive, safe and non-disruptive school climate, thereby enhancing learning."
"North High School","OK","https://north.edmondschools.net/wp-content/uploads/sites/7/2018/09/Student-Handbook-18-19.pdf","appropriate/inappropriate","The student dress code is based upon the premise of recognizing fashion without sacrificing decency, safety, and appropriateness."
"Grand Rapids Senior High","MN","https://www.isd318.org/sites/isd318.org/files/files/Student%20Handbooks/18-19/GRHS%20Student%20Handbook%202018-19.pdf","appropriate/inappropriate","Students are encouraged to be dressed appropriately for school activities and in keeping with community standards."
"Hiawatha Sr High","KS","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/176474/HHS_2018-2019_Student_Handbook.pdf","disruption/distraction"," If any administration, faculty or staff feels that what a student is wearing is inappropriate or a distraction to the learning of others they will be asked to change."
"Wharton High School","TX","http://www.whartonisd.net/upload/page/0078/Wharton%20ISD%20Student%20Handbook%20-%202018-19%20school%20year.pdf","disruption/distraction"," Facial hair should be neat, clean, closely trimmed and not be a distraction to the learning environment."
"Rutland Senior High School","VT","http://rhs.rutlandcitypublicschools.org/wp-content/uploads/sites/2/2018/09/RHS-Student-Handbook-18-19-UPDATED-AS-ON-9-12-18.pdf","appropriate/inappropriate","Rutland High School believes that appropriate dress and grooming contributes to a productive learning environment."
"Savage High School","MT","http://www.savagepublicschool.com/uploads/1/3/2/1/13214614/student_handbook_18-19.pdf","appropriate/inappropriate","Student appearance should be governed at all times by what is appropriate, what is clean and neat, and what reflects our community’s standards and values."
"Saint Helena High","CA","https://www.shhs.sthelenaunified.org/pdf/St_Helena_Student_Handbook_2018_2019.pdf","disruption/distraction","The SHUSD School Board and School Policy ascribes that attire is to be “suitable and not distracting, inappropriate, unsafe, or disruptive to the school program."
"Alvarado High School","TX","https://www.alvaradoisd.net/common/pages/DisplayFile.aspx?itemId=967736","neat"," Students and parents may determine a student’s personal dress and grooming standards, provided that they comply with the following: • Students’ hair shall be clean, neat, and well-groomed."
"Tatum High School","TX","https://docs.google.com/document/d/1KyN8Kw5B9KJPdiQaxXAxp0IaxoajEgjIkGoVXMHjYFs/edit","disruption/distraction",") extreme enough to create a distraction or disturb the normal routine of school as determined by the administration shall be deemed inappropriate."
"George Washington High School","IA","http://crwash.cr.k12.ia.us/assets/32/6/2018-2019_Calendar_Handbook.pdf","disruption/distraction","The District believes inappropriate student appearance causes material and substantial disruption to the school environment or presents a threat to the health and safety of students, employees and visitors."
"Somerset High","WI","https://docs.google.com/document/d/1A2UVM3wd2M7qGbdKNf6dhvXJQ6Sn0GjYtxWTZ3PXinU/edit","modest/modesty","   Students will not be permitted to wear clothing that may cause embarrassment to the wearer and/or viewer because of being immodest, suggestive, or revealing."
"David Prouty High","MA","http://www.sebrsd.org/sites/sebrsd/files/file/file/2018-2019_student_handbook_.pdf","clean"," Students must be clean, neat and maintain a standard of decency in dress and appearance."
"Tomahawk High","WI","https://www.tomahawk.k12.wi.us/families/handbooks/THS%20Student%20Handbook.pdf","disruption/distraction"," Unusual and bizarre dress or grooming can be a disruptive influence in the classroom and detrimental to the development of a positive climate for teaching and learning."
"Hallsville High School","TX","https://webapp.hisd.com/downloads/Hallsville_ISD_Student_Handbook.pdf","disruption/distraction","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and minimize safety hazards."
"Wheeler High School","CT","http://www.northstonington.k12.ct.us/wp-content/uploads/2018/08/2018-19_whs_handbook.pdf","good taste"," The final decision as to what is appropriate and in good taste rests with the administration."
"Emporia High","KS","https://drive.google.com/file/d/13FO887dRRhDhiyOLLTFoXOAEAw6xdtIV/view","safe/safety"," The intent of the dress code is to better our educational efforts through modesty, safety, and non-disruption of the goals of our school."
"Rancho Verde High","CA","https://docs.google.com/document/d/1eHpEtMkiruXoz-lqAoLTK-9Y4SFXUGB7mXCU62EE5Ko/edit","disruption/distraction","    Any clothing, makeup, hairstyle or wig that has been demonstrated to contribute to the substantial disruption of the  orderly operation of the school is inappropriate / unacceptable for school attire."
"Monroe-Woodbury High School","NY","https://www.mw.k12.ny.us/monroe-woodbury-high-school/about/handbook/#hs-book-dress","clean","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions."
"Leavenworth Sr High","KS","http://lusdlhs.ss18.sharpschool.com/UserFiles/Servers/Server_433908/Image/2018-2019%20LHS%20Student%20Handbook%20FINAL.pdf","clean"," USD 453 will endeavor to work with parents to ensure students come to school each day in clean, neat, and appropriate attire, and school attire shall be based on COMMON SENSE and GOOD TASTE by both students and parents."
"Nex Gen Academy","NM","https://drive.google.com/file/d/1mNpndUGv9XN6tSrkTjhBu376uKTS0MV8/view","neat"," Students should plan on attire which is neat, clean and not overly revealing ."
"Grandview Sr. High","MO","https://4.files.edl.io/4205/07/02/18/032908-b465db83-de9d-45d5-9c6f-03d331361e59.pdf","disruption/distraction"," Whenever student attire causes a disruption to the learning process or, in the reasonable opinion of the building administrator is inappropriate or is likely to be a threat to one's safety or health, the student will be requested to change to more appropriate attire."
"Wausaukee High","WI","http://wausaukee-wi.schoolloop.com/file/1288431129414/1404531266365/2589608347096876926.pdf","health","There are three fundamental reasons for a school dress code: ✓ to ensure the health and safety of all students, ✓ to prevent disruptions to the learning environment, and ✓ to encourage students in appropriate dress habits so they are prepared for the professional world beyond high school and college."
"Turners Fall High","MA","http://gmrsd.org/sites/default/files/TFHS%20Handbook%202018-2019%20PDF%20Final.pdf","health"," However, a student's attire and grooming must be of such nature so as not to endanger his/her education, health or safety or that of others."
"Nashoba Regional","MA","https://nrhs.nrsd.net/UserFiles/Servers/Server_1160004/File/NRHS%20Student%20Handbook%20Review%2018-19%20(Updated%2010.01.2018.).pdf","safe/safety"," Any clothing, accessory, hairstyle or grooming habit that is a danger to student health/safety may not be permitted and student dress should not hinder participation in a given class (for instance, PE or a chemistry lab)."
"Crater Academy of Health and Public Services","OR","http://blogs.district6.org/cahps/wp-content/uploads/2017/02/CraterCampusStudentHandbook.pdf","disruption/distraction"," Bizarre or immodest dress and grooming will not be permitted, it disrupts the teaching/learning process."
"Shadow Hills High","CA","https://drive.google.com/file/d/1qokumU9iHK97SQ2nj5Ol0e1bSkuxwkLh/view","appropriate/inappropriate"," Students are expected to be dressed appropriately each school day."
"Menomonie High","WI","http://menomoniehs.ss7.sharpschool.com/UserFiles/Servers/Server_384530/Image/2018-2019%20Agenda%20Book%205x8.pdf","neat"," Because appearance, proper behavior, and academic progress are individually and collectively important in the school community, students attending school should always appear neat, clean, and well groomed."
"Elkhorn Area High","WI","https://docs.google.com/document/d/1NhYUxLg11tCKIfjirpcNsSlR6Y-EhFLeD8tywr96oec/edit#heading=h.npj7dxr5dutd","health","The School Board recognizes that student’s individual dress is primarily a parent/student responsibility, which should reflect concern for health and safety of the student, others, and school property."
"Ravena-Coeymans-Selkirk Senior High School","NY","https://www.rcscsd.org/forms-handbooks-policies/code-of-conduct/","interfere with learning"," However, the Board of Education requires students to attend school in appropriate dress that meets health and safety standards and does not interfere with the learning process."
"Hallsville High School","TX","https://webapp.hisd.com/downloads/Hallsville_ISD_Student_Handbook.pdf","appropriate/inappropriate"," Students are expected to dress or groom themselves in clothes and accessories that are appropriate for school activities"
"Sauk Prairie High","WI","https://www.saukprairieschools.org/cms_files/resources/2018-19%20Student%20Handbook.pdf","appropriate/inappropriate","Students are expected to dress appropriately for school and the expectations placed on dress relate to health, safety, cleanliness, distraction, or appropriateness."
"Hobbs High","NM","http://www.hobbsschools.net/UserFiles/Servers/Server_6/File/Handbook/HHS%20HFHS%20Handook%202018-%202019.pdf","disruption/distraction"," The schools reserve the right at all times to regulate all students’ appearance that creates disruption, is a distraction to learning, is of questionable decency, and/or creates a health or safety hazard."
"Lathrop High School","AK","https://www.k12northstar.org/site/handlers/filedownload.ashx?moduleinstanceid=3180&dataid=3743&FileName=Rights_Responsibilities_Handbook.pdf","health"," Student’s school attire should adhere to accepted standards of decency, should not pose a threat to public or personal health and safety, or be disruptive or distracting to classroom activity or pupil behavior."
"Onteora High School","NY","https://resources.finalsite.net/images/v1534271216/onteorak12nyus/q3ilpfbtzd59ctmp381n/2018-19Student-ParentHandbook.pdf","disruption/distraction"," Dress and grooming should be safe and appropriate and should not disrupt or interfere with the educational process at school or at school functions, on or off school property."
"may-Port Cg High School","ND","https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/209270/Student_Handbook--18-19.pdf","neat","Each student is responsible for dress that is neat, clean, safe and does not disrupt the educational process during the school day."
"Bonney Lake High School","WA","https://docs.google.com/viewerng/viewer?url=https://www.sumnersd.org//cms/lib/WA01919505/Centricity/Domain/831/Student+Handbook+18-19.pdf","health"," In order to facilitate learning for all students, we ask that student dress and appearance follow health and safety standards and not cause a disruption to the learning environment."
