type,item,n,itemCorrect,catCorrect
accessories,sunglasses,152,,
accessories,chains,134,,
accessories,spiked studded accessories,90,,
accessories,unsafe accessories,64,,
accessories,wallet chains,50,,
accessories,jackets,47,,
accessories,trench coats,43,,
accessories,blankets,38,,
accessories,collars,20,,
accessories,ear gauges,17,,
accessories,gloves,14,,
accessories,masks,14,,
accessories,backpacks,11,,
accessories,sharp accessories,10,,
accessories,grill teeth,9,,
accessories,belt chains,7,,
accessories,pillows,5,,
accessories,pocket chains,5,,
accessories,purses,5,,
accessories,spiked studded belt,5,,
accessories,dog chains,4,,
accessories,hanging belts,4,,
accessories,headphones,4,,
accessories,rings joining 2 or more fingers,4,,
accessories,safety pins,4,,
accessories,bike chains,3,,
accessories,stuffed animals,3,,
accessories,towels,3,,
accessories,unbuckled belts,3,unfastened belts,
accessories,unfastened belts,3,,
accessories,wallet chain,3,wallet chains,
accessories,arm bands,2,,
accessories,athletic bags,2,,
accessories,bulky coats,2,jackets,
accessories,cords,2,,
accessories,dangling belts,2,,
accessories,flags,2,,
accessories,goggles,2,,
accessories,gym bags,2,athletic bags,
accessories,noisy jewelry,2,,
accessories,overcoats,2,jackets,
accessories,oversized belt buckle,2,,
accessories,winter coats,2,jackets,
accessories,wristbands,2,,
accessories,2 earbuds in ears,1,headphones,
accessories,animal chains,1,dog chains,
accessories,back pack,1,backpacks,
accessories,back packs,1,backpacks,
accessories,backpack,1,backpacks,
accessories,bedding,1,,
accessories,belt buckles with gang initials,1,,
accessories,belt buckles with gang symbols,1,,
accessories,belt buckles with initials,1,,
accessories,belt tails that dangle,1,dangling belts,
accessories,belts hanging out of pants,1,,
accessories,belts worn somewhere other than waistline,1,,
accessories,book bags,1,backpacks,
accessories,buckles,1,,
accessories,buckles with inappropriate symbols,1,,
accessories,bulky jackets,1,jackets,
accessories,can be used as drug paraphernalia,1,,
accessories,cause damage to property,1,damaging to property,
accessories,cause excessive maintenance problems,1,damaging to property,
accessories,chain belts,1,,
accessories,chains > 12 inches,1,long chains,
accessories,comforters,1,blankets,
accessories,damage to property,1,damaging to property,
accessories,damaging to property,1,damaging to property,
accessories,damaging to school property,1,damaging to property,
accessories,dangling belt,1,dangling belts,
accessories,dangling ends on suspenders,1,,
accessories,distracting accessories,1,,
accessories,ear buds,1,headphones,
accessories,ear muffs,1,earmuffs,
accessories,earmuffs,1,earmuffs,
accessories,earrings connected to nose ring,1,,
accessories,electronic equipment,1,,
accessories,excessive jewelry,1,,
accessories,excessive material attached to clothing,1,,
accessories,expensive jewelry,1,,
accessories,exposed belts,1,,
accessories,extended belts,1,,
accessories,eye coverings,1,,
accessories,gang related jewelry,1,,
accessories,gang related shoestrings,1,,
accessories,gang-related wristbands,1,,
accessories,handbags,1,,
accessories,handcuffs,1,,
accessories,hanging belt end,1,dangling belts,
accessories,hanging straps,1,dangling straps,
accessories,heavy winter coats,1,jackets,
accessories,hip chains,1,,
accessories,hoop piercings except for ears,1,,
accessories,key chains,1,keychains,
accessories,keychains,1,,
accessories,keys,1,,
accessories,knife holders,1,knife sheath,
accessories,knife sheath,1,,
accessories,large chains,1,long chains,
accessories,large dangling earrings,1,,
accessories,large-link chains,1,,
accessories,laser lights,1,,
accessories,leashes,1,,
accessories,leather accessories,1,,
accessories,leg bands,1,,
accessories,leg-bands,1,leg bands,
accessories,long belts,1,,
accessories,long chains,1,,
accessories,medallions,1,,
accessories,neck band,1,,
accessories,ninja stars,1,,
accessories,non-traditional jewelry,1,,
accessories,outside apparel,1,,
accessories,oversized necklaces,1,,
accessories,oversized purse,1,oversized purses,
accessories,oversized purses,1,,
accessories,pagers,1,,
accessories,pillow,1,,
accessories,pins,1,,
accessories,pliers,1,,
accessories,pocket knives,1,,
accessories,poncho,1,,
accessories,punched out belts,1,,
accessories,quilts,1,blankets,
accessories,rings,1,,
accessories,robe,1,,
accessories,ropes,1,,
accessories,scarves,1,,
accessories,security chains,1,,
accessories,shoulder bags,1,,
accessories,snuggies,1,,
accessories,status bearing items,1,,
accessories,suspenders not on shoulders,1,,
accessories,suspenders on both shoulders,1,suspenders not on shoulders,
accessories,things dangling from pockets,1,,
accessories,things dangling from waistband,1,,
accessories,tools,1,,
accessories,totebags,1,,
accessories,unattached sleeves,1,,
accessories,unbuckled belt,1,unfastened belts,
accessories,uncovered court ordered monitor,1,,
accessories,unfastened suspenders,1,unfastened suspenders,
accessories,unhooked suspenders,1,unfastened suspenders,
accessories,unusual jewelry,1,,
accessories,vests,1,,
accessories,wallet chains longer than fingertip,1,,
accessories,watch chains,1,,
accessories,watches,1,,
accessories,wheeled backpacks,1,,
body,midsection midriff,245,,
body,cleavage,76,,
body,breasts chest,51,,
body,back,50,,
body,buttocks,37,,
body,shoulders,26,,
body,torso,24,,
body,inappropriate amounts of skin,10,,
body,sides,6,,
body,genitals,4,,
body,hips,3,,
body,body,2,,
body,lower back,2,,
body,underarm,2,underarms,
body,all body parts,1,,
body,anatomical details,1,,
body,areas expected to be covered,1,,
body,areas typically covered by undergarments,1,,
body,armpits,1,,
body,bare skin,1,,
body,crotch,1,,
body,excessive skin,1,,
body,front or back cleavage,1,,
body,legs above mid-thigh,1,skin above mid-thigh,
body,mid-thigh,1,skin above mid-thigh,
body,nipples,1,,
body,other appendages,1,,
body,other areas,1,,
body,other body parts,1,,
body,private body parts,1,private parts,
body,private parts,1,,
body,shoulder blades,1,,
body,skin above mid-thigh,1,,
body,the body,1,,
body,underarms,1,,
body,upper thigh,1,skin above mid-thigh,
clothing,see through sheer,149,,
clothing,low necklines,132,,
clothing,pajamas,121,,
clothing,too loose,73,,
clothing,revealing,68,,
clothing,too tight,58,,
clothing,fishnet mesh attire,56,,
clothing,extremely brief short,40,,
clothing,frayed cut torn with holes,40,,
clothing,sexually provocative suggestive,33,,
clothing,skin tight,33,too tight,
clothing,spandex,31,,
clothing,immodest,29,,
clothing,dirty,23,,
clothing,low backlines,19,,
clothing,beachwear swim suit sun suit,16,,
clothing,costumes,8,,
clothing,untidy,6,,
clothing,excessively torn,5,,
clothing,bad repair,4,in bad repair,
clothing,inside out,4,,
clothing,in bad repair,3,,
clothing,not fully clothed,3,,
clothing,scoop back,3,,
clothing,scoop neck,3,,
clothing,athletic wear,2,,
clothing,backwards,2,,
clothing,damaging to school property,2,damaging to school property,
clothing,destructive to school property,2,damaging to school property,
clothing,distracting,2,,
clothing,excessive holes,2,excessively torn,
clothing,sloppy,2,,
clothing,"""Straight Out of O-Town"" Logo",1,,
clothing,adequate coverage of the body,1,,
clothing,affiliated with Insane Clown Posse,1,,
clothing,allows undergarments to show,1,,
clothing,altered to accentuate or expose,1,,
clothing,apparel identifying a student as security staff or police,1,,
clothing,bad condition,1,,
clothing,bathrobes,1,,
clothing,bizarre,1,,
clothing,bizarre clothing,1,,
clothing,blocked vision,1,,
clothing,body suits,1,,
clothing,burgandy,1,,
clothing,buttoned appropriately,1,buttoned properly,
clothing,buttoned properly,1,,
