schoolName,state,website,stateAbb,schoolType,charterSchool,magnetSchool,locale,totalStudents,lowestGrade,highestGrade,totalRace,raceNative,raceAsian,raceHispanic,raceBlack,raceWhite,raceHawaiian,raceMultiple,studentTeacherRatio,teacherCount,matches,pWhite,pBlack,pHispanic,dressCode,handbookYear,uniform,entered
PARK VISTA COMMUNITY HIGH SCHOOL,Florida,www.parkvistacommunityhighschool.com,FL ,1-Regular school,2-No,1-Yes,21-Suburb: Large,3035,9th Grade,12th Grade,3035,16,110,720,386,1714,4,85,18.73,162,handbook,56,13,24,https://www.palmbeachschools.org/students/wp-content/uploads/sites/24/2018/08/FY19StudentFamilyHandbookv8-14-18.pdf,2018-2019,FALSE,y
LATHROP HIGH,California,www.mantecausd.net,CA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1261,9th Grade,12th Grade,1261,10,314,637,108,155,15,22,21.96,57.41,appearance,12,9,51,http://www.mantecausd.net/home/showdocument?id=3534,2018-2019,FALSE,y
DEL MAR HIGH,California,www.delmar.cuhsd.org,CA ,1-Regular school,2-No,2-No,11-City: Large,1167,9th Grade,12th Grade,1167,1,96,757,55,195,10,53,22.12,52.75,manual,17,5,65,https://4.files.edl.io/8074/07/10/18/011231-c4c7da88-ca5e-42fb-880e-babb49c7cf52.pdf,2018-2019,FALSE,y
ANAMOSA HIGH SCHOOL,Iowa,www.anamosa.k12.ia.us,IA ,1-Regular school,2-No,NA,32-Town: Distant,384,9th Grade,12th Grade,384,0,5,8,6,359,0,6,12.99,29.56,handbook,93,2,2,http://www.anamosa.k12.ia.us/wp-content/uploads/2018/08/Anamosa-High-School-Handbook-2018-2019.pdf,2018-2019,FALSE,y
RIO RANCHO HIGH,New Mexico,http://rioranchohigh.rrps.net/,NM ,1-Regular school,2-No,NA,21-Suburb: Large,2387,9th Grade,12th Grade,2387,67,59,1300,64,814,3,80,18.4,129.74,handbook,34,3,54,https://rioranchohigh.rrps.net/UserFiles/Servers/Server_134229/File/GeriPribble/RRHS%202018-2019%20Student%20Handbook%20(revised%2010.2.2018).pdf,2018-2019,FALSE,y
TACONIC HIGH,Massachusetts,http://taconic.pittsfield.net,MA ,1-Regular school,2-No,2-No,13-City: Small,731,9th Grade,12th Grade,731,2,10,48,85,542,0,44,9.39,77.88,handbook,74,12,7,http://taconic.pittsfield.net/for_students/student_policies/appearance,2018-2019,FALSE,y
LATTA HS,Oklahoma,www.latta.k12.ok.us,OK ,1-Regular school,2-No,NA,41-Rural: Fringe,213,9th Grade,12th Grade,213,64,3,10,1,104,0,31,14.33,14.86,appearance,49,0,5,http://www.latta.k12.ok.us/vimages/shared/vnews/stories/4cdda70350631/Latta%20HS%20handbook%20%202018-19.pdf,2018-2019,FALSE,y
BROOKFIELD HIGH,Missouri,www.brookfield.k12.mo.us,MO ,1-Regular school,2-No,2-No,41-Rural: Fringe,298,9th Grade,12th Grade,298,0,2,10,4,274,1,7,14.57,20.45,manual,92,1,3,http://www.hs.brookfield.k12.mo.us/UserFiles/Servers/Server_56335/File/Student%20Handbook/18-19%20Student%20Handbook.doc%20-%20Google%20Docs.pdf,2018-2019,FALSE,y
CARMEL HIGH SCHOOL,New York,www.carmelschools.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,1434,9th Grade,12th Grade,1434,1,38,281,40,1058,NA,16,14.47,99.11,guide,74,3,20,https://www.boarddocs.com/ny/carmel/Board.nsf/goto?open&id=89S24E768C3E,2018-2019,FALSE,y
BREMOND H S,Texas,bremondisd.net,TX ,1-Regular school,2-No,2-No,43-Rural: Remote,151,9th Grade,12th Grade,151,1,2,24,20,99,0,5,8.35,18.08, dress,66,13,16,http://www.bremondisd.net/vimages/shared/vnews/stories/4c4764dd0bf4c/Handbook2%20%284%29.pdf,2018-2019,FALSE,y
JULIAN HIGH,California,www.juhsd.org,CA ,1-Regular school,2-No,2-No,42-Rural: Distant,157,9th Grade,12th Grade,157,18,2,42,0,89,0,6,16.02,9.8,guide,57,0,27,https://drive.google.com/file/d/15CrNaE_ZopqaqlwyRDbUsC7Xc3npN2m6/view,2018-2019,FALSE,y
RED RIVER HIGH SCHOOL,North Dakota,http://www.gfschools.org,ND ,1-Regular school,NA,NA,13-City: Small,1141,9th Grade,12th Grade,1141,31,83,40,93,889,2,3,12.23,93.3,guide,78,8,4,https://www.gfschools.org/site/handlers/filedownload.ashx?moduleinstanceid=236&dataid=1028&FileName=2018-2019%20High%20School%20Handbook%208.18.pdf,2018-2019,FALSE,y
ROBERTSDALE HIGH SCH,Alabama,www.robertsdalehigh.com,AL ,1-Regular school,2-No,2-No,31-Town: Fringe,1369,9th Grade,12th Grade,1369,11,11,79,121,1125,2,20,18.07,75.75,handbook,82,9,6,https://www.bcbe.org/domain/5822,2018-2019,FALSE,y
LATHROP HIGH SCHOOL,Alaska,http://www.k12northstar.org,AK ,1-Regular school,2-No,2-No,13-City: Small,1040,9th Grade,12th Grade,1040,95,43,125,95,535,22,125,18.68,55.67,appearance,51,9,12,https://www.k12northstar.org/site/handlers/filedownload.ashx?moduleinstanceid=3180&dataid=3743&FileName=Rights_Responsibilities_Handbook.pdf,2018-2019,FALSE,y
ATHOL HIGH,Massachusetts,www.arrsd.org,MA ,1-Regular school,2-No,2-No,31-Town: Fringe,358,9th Grade,12th Grade,358,0,2,17,8,328,0,3,12.19,29.36,handbook,92,2,5,http://www.arrsd.org/wp-content/uploads/2018/08/AHS-Student-Handbook-2018-2019.pdf,2018-2019,FALSE,y
SAVAGE HIGH SCHOOL,Montana,www.savagepublicschool.com,MT ,1-Regular school,NA,2-No,43-Rural: Remote,36,9th Grade,12th Grade,36,1,0,1,0,34,0,0,8.47,4.25, dress,94,0,3,http://www.savagepublicschool.com/uploads/1/3/2/1/13214614/student_handbook_18-19.pdf,2018-2019,FALSE,y
BEGGS HS,Oklahoma,www.beggs.k12.ok.us,OK ,1-Regular school,2-No,NA,42-Rural: Distant,351,9th Grade,12th Grade,351,84,0,15,18,154,0,80,16.27,21.57,handbook,44,5,4,http://s3.amazonaws.com/scschoolfiles/1396/student_handbook_2018-19.pdf,2018-2019,FALSE,y
BELTON H S,Texas,www.bisd.net,TX ,1-Regular school,2-No,2-No,23-Suburb: Small,2711,9th Grade,12th Grade,2711,19,42,869,209,1460,6,106,14.88,182.18,guide,54,8,32,https://www.bisd.net/HShandbook,2018-2019,FALSE,y
MILTON HIGH,Wisconsin,www.milton.k12.wi.us,WI ,1-Regular school,2-No,2-No,23-Suburb: Small,1075,9th Grade,12th Grade,1075,1,18,38,13,990,0,15,17.06,63.02,handbook,92,1,4,https://www.milton.k12.wi.us/18_19_Documents/Final_MHS%20Student%20and%20Family%20Handbook_%202018-2019.pdf,2018-2019,FALSE,y
E E SMITH HIGH,North Carolina,www.eeshs.ccs.k12.nc.us/,NC ,1-Regular school,2-No,2-No,12-City: Mid-size,1065,9th Grade,12th Grade,1065,5,8,81,773,125,9,64,16.04,66.39,manual,12,73,8,http://eeshs.ccs.k12.nc.us/files/2017/12/EES-STUDENT-HANDBOOK-2017-2018FINAL.pdf,2018-2019,FALSE,skip - wrong year
SOUTHERN COLUMBIA HS,Pennsylvania,http://www.scasd.us,PA ,1-Regular school,2-No,2-No,41-Rural: Fringe,409,9th Grade,12th Grade,409,4,1,6,4,390,1,3,14.44,28.32,guide,95,1,1,http://www.scasd.us/sites/default/files/FINAL%20HS%20Student%20Handbook%202018-2019.pdf,2018-2019,FALSE,y
EL CAMINO REAL CHARTER HIGH,California,www.ecrchs.net,CA ,1-Regular school,1-Yes,2-No,11-City: Large,3855,9th Grade,12th Grade,3855,23,536,1051,266,1818,19,142,29.88,129,guide,47,7,27,https://www.ecrchs.net/ourpages/auto/2018/6/14/40053360/2018-19%20Parent%20Student%20Handbook%20FINAL.pdf,2018-2019,FALSE,
COMO PARK SENIOR HIGH,Minnesota,www.spps.org,MN ,1-Regular school,2-No,2-No,11-City: Large,1307,9th Grade,12th Grade,1307,20,399,126,431,302,1,28,17.76,73.61,guide,23,33,10,https://www.spps.org/site/handlers/filedownload.ashx?moduleinstanceid=48819&dataid=27984&FileName=2018-19_RRSummary_Final.pdf,2018-2019,FALSE,y
ELSBERRY HIGH,Missouri,www.elsberryschools.com,MO ,1-Regular school,2-No,2-No,42-Rural: Distant,232,9th Grade,12th Grade,232,2,0,9,11,208,0,2,12.11,19.15,handbook,90,5,4,http://www.elsberryschools.com/UserFiles/Servers/Server_128419/File/Elsberry%20High%20School%20student%20handbook%202018-19.pdf,2018-2019,FALSE,y
PORT JERVIS SENIOR HIGH SCHOOL,New York,www.pjschools.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,827,9th Grade,12th Grade,827,6,11,81,62,656,NA,11,12.28,67.32,guide,79,7,10,https://campussuite-storage.s3.amazonaws.com/prod/1558562/da7ff762-7a28-11e8-98e1-0ac498f040b0/1821923/f448a9b2-ad56-11e8-937d-12d332735efe/file/HS%20full%20page%202018%202019%20student%20handbook%20(2).pdf,2018-2019,FALSE,y
LONGMONT HIGH SCHOOL,Colorado,http://lhs.svvsd.org,CO ,1-Regular school,2-No,2-No,23-Suburb: Small,1188,9th Grade,12th Grade,1188,11,24,398,15,714,3,23,20.48,58.01,handbook,60,1,34,https://docs.google.com/document/d/10aDrsvp1qbWMfAMJwFw1eZ5B64F7IJtSTy-unoZnyn0/edit#heading=h.gjdgxs,2018-2019,FALSE,y
CANON CITY HIGH SCHOOL,Colorado,www.cchsweb.org,CO ,1-Regular school,2-No,2-No,32-Town: Distant,1054,9th Grade,12th Grade,1054,12,3,109,4,894,1,31,18.76,56.18,handbook,85,0,10,https://cchs.canoncityschools.org/,2018-2019,FALSE,skip - download
ELKO HIGH SCHOOL,Nevada,http://www.elkohigh.ecsdnv.net/,NV ,1-Regular school,2-No,2-No,33-Town: Remote,1295,9th Grade,12th Grade,1295,59,19,472,20,716,5,4,21.4,60.5,manual,55,2,36,https://drive.google.com/file/d/0B9Av4Sh_NSWSbUs5XzFsRU5ZWjF6ZmxIdU05ajhnVHZuOWVz/view,2018-2019,FALSE,y
IRONTON HIGH SCHOOL,Ohio,http://www.tigertown.com,OH ,1-Regular school,2-No,–,22-Suburb: Mid-size,396,9th Grade,12th Grade,396,0,1,2,25,351,0,17,15.62,25.36,handbook,89,6,1,http://www.tigertown.com/UserFiles/Servers/Server_2979847/File/IHS/IHS.HandBook.18-19.pdf,2018-2019,FALSE,y
SOUTH JEFFERSON HIGH SCHOOL,New York,www.spartanpride.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,611,9th Grade,12th Grade,611,1,9,11,5,583,NA,2,15.46,39.53,manual,95,1,2,https://drive.google.com/file/d/1rG3pPJz-mXtABUTTxhaW3Aq9GpJKQtvJ/view,2018-2019,FALSE,y
SIMSBURY HIGH SCHOOL,Connecticut,www.simsbury.k12.ct.us/page.cfm?p=33,CT ,1-Regular school,2-No,2-No,21-Suburb: Large,1423,9th Grade,12th Grade,1423,0,82,62,63,1206,0,10,12.67,112.35,handbook,85,4,4,https://www.simsbury.k12.ct.us/uploaded/SHS_Content/SHS_Student_Handbook.pdf,2018-2019,FALSE,y
EVEREST PUBLIC HIGH,CALIFORNIA,http://everest.summitps.org,CA ,1-Regular school,1-Yes,2-No,21-Suburb: Large,376,9th Grade,12th Grade,376,0,17,217,6,83,5,48,21.77,17.27,handbook,22,2,58,https://docs.google.com/document/d/1ujpawjYZ6fo9nGQ2ubpMGsxOVY92TWs85g-aD1pqeJg/edit?ts=5b5fd8d7#bookmark=id.1cz6rzyfe9mi,2018-2019,FALSE,
WINDTHORST H S,Texas,www.windthorstisd.net,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,168,9th Grade,12th Grade,168,1,0,44,0,122,0,1,11.91,14.1,manual,73,0,26,http://www.windthorstisd.net/Uploads/50/misc/f285919.pdf,2018-2019,FALSE,y
CAESAR RODNEY HIGH SCHOOL,Delaware,www.crk12.org/Domain/8,DE ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,2003,9th Grade,12th Grade,2003,14,88,134,623,1108,4,32,14.95,134,guide,55,31,7,https://www.crk12.org/domain/524,2018-2019,FALSE,skip - 2014
NORTHBRIDGE HIGH,Massachusetts,www.nps.org/highschool,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,605,9th Grade,12th Grade,605,0,8,50,3,527,0,17,12.37,48.91,handbook,87,0,8,https://drive.google.com/file/d/0B5Kk_e5XgnTiczhsTHVZcWJUeUhnVVZNeGFFbXpYeFliM2N3/view,2018-2019,FALSE,y
BFA HIGH SCHOOL - FAIRFAX,Vermont,http://www.bfafairfax.com/,VT ,1-Regular school,NA,2-No,42-Rural: Distant,314,9th Grade,12th Grade,314,1,2,1,2,304,0,4,12.98,24.2,handbook,97,1,0,http://docs.wixstatic.com/ugd/cc9bf5_23b97d7138fb4d39aa7b70f71b654549.pdf,2018-2019,FALSE,skip - wrong year
DEPEW HIGH SCHOOL,New York,www.depewschools.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,594,9th Grade,12th Grade,594,1,12,19,26,530,NA,6,12.63,47.02, dress,89,4,3,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/217783/Code_of_Conduct_2018-2019_ADA.pdf,2018-2019,FALSE,y
AMSTERDAM HIGH SCHOOL,New York,www.gasd.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,1125,9th Grade,12th Grade,1125,1,14,432,87,578,NA,13,14.47,77.77,manual,51,8,38,https://www.gasd.org/amsterdam-high-school/about-our-school/code-conduct/,2018-2019,FALSE,y
BARBERS HILL H S,Texas,www.bhisd.net,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,1501,9th Grade,12th Grade,1501,7,16,291,55,1108,0,24,14.66,102.4,handbook,74,4,19,https://www.bhisd.net/uploaded/parents/Student_Handbooks/Dress_Code_High_School_-_ADA_Compliant.pdf,2018-2019,FALSE,y
LOUISIANA HIGH,Missouri,louisiana.k12.mo.us,MO ,1-Regular school,2-No,2-No,33-Town: Remote,204,9th Grade,12th Grade,204,0,0,6,12,180,0,6,10.32,19.77,manual,88,6,3,https://drive.google.com/file/d/1NLuRed2RSnVnP6_v-zj5m8UVwDXoFVCI/view,2018-2019,FALSE,y
BUTLER HIGH SCHOOL,Ohio,www.vbcsd.com,OH ,1-Regular school,2-No,–,21-Suburb: Large,971,9th Grade,12th Grade,971,4,22,24,54,823,1,43,19.95,48.67,guide,85,6,2,https://www.vbcsd.com/userfiles/453/my%20files/butler%20student%20handbook%202018-2019.pdf?id=552317,2018-2019,FALSE,y
GATEWAY HIGH SCHOOL,Colorado,http://gateway.aurorak12.org,CO ,1-Regular school,2-No,2-No,11-City: Large,1803,9th Grade,12th Grade,1803,18,54,911,463,268,16,73,20.11,89.64,handbook,15,26,51,https://gateway.aurorak12.org/wp-content/uploads/sites/252/2018/10/gateway_handbook_20182019.pdf,2018-2019,FALSE,y
PINE BUSH SENIOR HIGH SCHOOL,New York,www.pinebushschools.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,1754,9th Grade,12th Grade,1754,3,49,301,211,1175,NA,15,16.5,106.3,manual,67,12,17,https://www.pinebushschools.org/parent-community/publications/pine-bush-high-school-student-handbook/#dresscode,2018-2019,FALSE,y
COE-BROWN NORTHWOOD ACADEMY,New Hampshire,http://coebrown.org,NH ,1-Regular school,2-No,2-No,42-Rural: Distant,701,9th Grade,12th Grade,701,4,17,5,6,667,1,1,11.31,62,handbook,95,1,1,http://coebrown.org/handbook/#toggle-id-15,2018-2019,FALSE,y
DAWSON HIGH SCHOOL,Montana,dawsonhigh.net,MT ,1-Regular school,NA,2-No,33-Town: Remote,389,9th Grade,12th Grade,389,7,1,13,7,357,1,3,16.11,24.14,handbook,92,2,3,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/251666/DCHS_Student_Handbook_18-19__4_.pdf,2018-2019,FALSE,y
ELEANOR ROOSEVELT HIGH SCHOOL,New York,www.erhsnyc.org,NY ,1-Regular school,2-No,–,11-City: Large,555,9th Grade,12th Grade,555,1,119,47,22,344,NA,22,16.8,33.04,manual,62,4,8,https://www.erhsnyc.org/ourpages/auto/2009/10/22/53897623/2018-19%20ERHS%20Handbook.pdf,2018-2019,FALSE,y
HINTON HS,Oklahoma,www.hintonschools.org,OK ,1-Regular school,2-No,NA,43-Rural: Remote,162,9th Grade,12th Grade,162,20,0,32,1,106,0,3,16.33,9.92,handbook,65,1,20,http://hintonschools.net/uploads/2018-hs-handbook.pdf,2018-2019,FALSE,y
GIRARD HS,Pennsylvania,http://www.girardsd.org,PA ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,564,9th Grade,12th Grade,564,2,1,4,11,529,0,17,14.78,38.15,manual,94,2,1,https://www.girardsd.org/ourpages/auto/2018/7/12/46015443/2018-19%20version%20for%20website.pdf,2018-2019,FALSE,y
CLASSICAL HIGH,Massachusetts,www.lynnschools.org,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1640,9th Grade,12th Grade,1640,4,169,815,219,390,2,41,17.34,94.58,guide,24,13,50,http://www.lynnschools.org/resources_policies_codes.shtml#gpm1_6,2018-2019,FALSE,skip - wrong year
HUNTLEY PROJECT HIGH SCHL,Montana,huntley.k12.mt.us,MT ,1-Regular school,NA,2-No,42-Rural: Distant,262,9th Grade,12th Grade,262,9,0,18,5,219,0,11,14.69,17.83,manual,84,2,7,https://huntley.k12.mt.us/ourpages/auto/2016/6/17/26402918/Student%20Handbook%202018-2019.pdf,2018-2019,FALSE,y
FRUITVALE H S,Texas,www.fruitvaleisd.com,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,127,9th Grade,12th Grade,127,1,1,13,4,100,0,8,10,12.7,handbook,79,3,10,http://www.fruitvaleisd.com/upload/page/0132/docs/Student%20Handbook%20.pdf,2018-2019,FALSE,y
DARLINGTON HIGH,Wisconsin,www.darlington.k12.wi.us,WI ,1-Regular school,2-No,2-No,43-Rural: Remote,217,9th Grade,12th Grade,217,0,1,17,1,196,0,2,12.26,17.7,handbook,90,0,8,https://www.darlington.k12.wi.us/Parent-Student%20Handbook%20%202018-2019wp1.pdf,2018-2019,FALSE,y
MOUNDS HS,Oklahoma,http://www.moundsps.com,OK ,1-Regular school,2-No,NA,41-Rural: Fringe,180,9th Grade,12th Grade,180,48,0,14,2,109,0,7,14.74,12.21,handbook,61,1,8,http://www.moundsps.com/uploads/hs-2018-handbook.pdf,2018-2019,FALSE,y
HOWE HS,Oklahoma,www.howeschools.org,OK ,1-Regular school,2-No,NA,32-Town: Distant,194,9th Grade,12th Grade,194,52,3,20,2,114,0,3,18.1,10.72,handbook,59,1,10,https://docs.google.com/document/d/1jOheaTJ7GkGRfQV7yEc0M-d0FdZsTAGxHL8kevB5m2Q/edit,2018-2019,FALSE,y
OAK GROVE HIGH,Missouri,www.oakgrove.k12.mo.us,MO ,1-Regular school,2-No,2-No,21-Suburb: Large,649,9th Grade,12th Grade,649,2,5,19,17,600,1,5,14.89,43.6,handbook,92,3,3,http://oakgrove.ss10.sharpschool.com/common/pages/DisplayFile.aspx?itemId=15364145,2018-2019,FALSE,y
