"schoolName","state","link","item","extract"
"Hicksville High School","NY","https://www.hicksvillepublicschools.org/parents/code_of_conduct","appropriate/inappropriate","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions."
"Hicksville High School","NY","https://www.hicksvillepublicschools.org/parents/code_of_conduct","appropriate/inappropriate"," Teachers and all other district personnel should exemplify and reinforce acceptable student dress and help students develop an understanding of appropriate appearance in the school setting."
"Hicksville High School","NY","https://www.hicksvillepublicschools.org/parents/code_of_conduct","appropriate/inappropriate","                  Be safe, appropriate and not disrupt or interfere with the educational process."
"Hicksville High School","NY","https://www.hicksvillepublicschools.org/parents/code_of_conduct","appropriate/inappropriate","  However, scant or skimpy clothing is not considered appropriate dress for school."
"Hicksville High School","NY","https://www.hicksvillepublicschools.org/parents/code_of_conduct","appropriate/inappropriate","                  Be appropriate to a specific educational purpose and not inhibit their full and safe participation."
"East High","UT","http://east.slcschools.org/students/documents/East-High-School-Student-Handbook.pdf","appropriate/inappropriate"," Clothing should be neat, clean, and appropriate for learning and weather conditions."
"East High","UT","http://east.slcschools.org/students/documents/East-High-School-Student-Handbook.pdf","appropriate/inappropriate"," School administrators will determine consequences for students who violate the dress code and will provide appropriate due process."
"Tomahawk High","WI","https://www.tomahawk.k12.wi.us/families/handbooks/THS%20Student%20Handbook.pdf","appropriate/inappropriate","Since education is the business of youth, appropriate dress and grooming become important assets for the student in seeking their educational goals."
"Tomahawk High","WI","https://www.tomahawk.k12.wi.us/families/handbooks/THS%20Student%20Handbook.pdf","appropriate/inappropriate"," Just as a successful person in the community considers it important to be appropriately dressed and groomed, so also should a student be concerned with these matters."
"Tomahawk High","WI","https://www.tomahawk.k12.wi.us/families/handbooks/THS%20Student%20Handbook.pdf","appropriate/inappropriate"," Appropriate dress and grooming outside the school building or school activity does not necessarily meet the standards of appropriate Tomahawk High School dress code guidelines."
"Tomahawk High","WI","https://www.tomahawk.k12.wi.us/families/handbooks/THS%20Student%20Handbook.pdf","appropriate/inappropriate"," All students will dress appropriately for physical education classes."
"Tomahawk High","WI","https://www.tomahawk.k12.wi.us/families/handbooks/THS%20Student%20Handbook.pdf","appropriate/inappropriate"," Wearing of indecent or inappropriate clothing that disrupts the educational atmosphere for both students and staff."
"Tomahawk High","WI","https://www.tomahawk.k12.wi.us/families/handbooks/THS%20Student%20Handbook.pdf","appropriate/inappropriate"," Wearing of clothing with inappropriate sexual references."
"Tomahawk High","WI","https://www.tomahawk.k12.wi.us/families/handbooks/THS%20Student%20Handbook.pdf","appropriate/inappropriate","Wearing of clothing, which inappropriately exposes sections of the body."
"Prior Lake High School","MN","https://www.priorlake-savage.k12.mn.us/uploaded/PLHS/17-18_PLHS_Student_Handbook.pdf?1503332307986","appropriate/inappropriate"," There are certain things that are inappropriate and do not belong in school."
"Prior Lake High School","MN","https://www.priorlake-savage.k12.mn.us/uploaded/PLHS/17-18_PLHS_Student_Handbook.pdf?1503332307986","appropriate/inappropriate"," Students should not wear:  Clothes that are provocative, bear profanity, advertise tobacco, drugs or alcohol, display skulls or death symbols, demean a person’s race, gender or other personal beliefs, or cause disruption of the educational process  Spaghetti-strap/tank top shirts that allow undergarments to show  Shirts that reveal skin (including when raising a hand in class or leaning over a desk) and/or revealing necklines  Short-shorts and skirts that provide only a minimal amount of coverage  Pants and shorts that hang low and show undergarments and/or bare skin  Clothing with holes or rips in inappropriate areas including the intent to expose undergarments  Headwear of any type."
"Prior Lake High School","MN","https://www.priorlake-savage.k12.mn.us/uploaded/PLHS/17-18_PLHS_Student_Handbook.pdf?1503332307986","appropriate/inappropriate","  Any other item of apparel deemed inappropriate by an administrator 13 Students who are in violation of this policy will be asked to change out of the offensive clothing."
"Judith Gap High School","MT","https://docs.google.com/document/d/1jk1vC6zX40S-QxBZgzh6Tzr_E8B7ERC-SDZmkMRAVJs/edit","appropriate/inappropriate","  The District has the responsibility to ensure proper and appropriate conditions for learning, along with protecting the health and safety of its student body."
"Judith Gap High School","MT","https://docs.google.com/document/d/1jk1vC6zX40S-QxBZgzh6Tzr_E8B7ERC-SDZmkMRAVJs/edit","appropriate/inappropriate"," Part of being in a workplace is knowing what is appropriate and what is not."
"Judith Gap High School","MT","https://docs.google.com/document/d/1jk1vC6zX40S-QxBZgzh6Tzr_E8B7ERC-SDZmkMRAVJs/edit","appropriate/inappropriate"," The teachers and the staff have a responsibility to help students learn the unwritten rules of what is right and appropriate for the workplace."
"Judith Gap High School","MT","https://docs.google.com/document/d/1jk1vC6zX40S-QxBZgzh6Tzr_E8B7ERC-SDZmkMRAVJs/edit","appropriate/inappropriate"," As there is a wide interpretation of tank top shirts and dresses, judgment of appropriateness will be based on the modesty of the necklines, the width of the shoulder strap, and the length of the hem."
"Judith Gap High School","MT","https://docs.google.com/document/d/1jk1vC6zX40S-QxBZgzh6Tzr_E8B7ERC-SDZmkMRAVJs/edit","appropriate/inappropriate","  The following is not acceptable for student dress: See through clothing  Clothing that allows a bare midriff  Clothing that is revealing of undergarments, including spandex and boxer shorts Clothing that has cut-outs or holes which expose any portion of the midriff or private parts of the body and/or underwear Heavy chains, spiked collars, spiked wristbands, and items that are dangerous to others Clothing that promotes or alludes to alcohol, tobacco, drugs, gangs or other subject matter that is inappropriate for school      Any form of dress or hairstyle which is considered contrary to good hygiene, or which is distracting or disruptive, or potentially hazardous in laboratory situations (VoAg, Industrial Arts, and Science) will not be permitted."
"Judith Gap High School","MT","https://docs.google.com/document/d/1jk1vC6zX40S-QxBZgzh6Tzr_E8B7ERC-SDZmkMRAVJs/edit","appropriate/inappropriate","  We encourage you as students to realize that wearing a hat or cap in the school building is not appropriate at some functions."
"La Feria High School","TX","http://hs.laferiaisd.org/UserFiles/Servers/Server_82225/File/Parent%20Information/La%20Feria%20HS%20Student%20Handbook%202018-19.pdf","appropriate/inappropriate",") advertising or advocating inappropriate life styles such as; gangs, drugs, or any type of illegal activity."
"La Feria High School","TX","http://hs.laferiaisd.org/UserFiles/Servers/Server_82225/File/Parent%20Information/La%20Feria%20HS%20Student%20Handbook%202018-19.pdf","appropriate/inappropriate","  No thin t-shirts, sleeveless, or under shirts may be worn without being covered up with a school appropriate shirt."
"Barnes County North High School","ND","https://docs.google.com/viewerng/viewer?url=http://www.barnescountynorth.k12.nd.us/files/2018/08/BCN-Handbook.pdf&hl=en_US","appropriate/inappropriate"," Any clothing which creates a danger to health or safety, creates a disruption to the educational process, or has inappropriate slogans is prohibited."
"Barnes County North High School","ND","https://docs.google.com/viewerng/viewer?url=http://www.barnescountynorth.k12.nd.us/files/2018/08/BCN-Handbook.pdf&hl=en_US","appropriate/inappropriate"," • Clothing, jewelry, or accessories containing references to sex, weapons, alcohol, drugs, obscenities, profanity, inappropriate pictures or attitudes (i."
"Barnes County North High School","ND","https://docs.google.com/viewerng/viewer?url=http://www.barnescountynorth.k12.nd.us/files/2018/08/BCN-Handbook.pdf&hl=en_US","appropriate/inappropriate"," • Students will dress appropriately for the current season."
"Barnes County North High School","ND","https://docs.google.com/viewerng/viewer?url=http://www.barnescountynorth.k12.nd.us/files/2018/08/BCN-Handbook.pdf&hl=en_US","appropriate/inappropriate"," Students wearing inappropriate clothing will be required to change clothes."
"Barnes County North High School","ND","https://docs.google.com/viewerng/viewer?url=http://www.barnescountynorth.k12.nd.us/files/2018/08/BCN-Handbook.pdf&hl=en_US","appropriate/inappropriate"," Students may be asked to call home for more appropriate clothing."
"Barnes County North High School","ND","https://docs.google.com/viewerng/viewer?url=http://www.barnescountynorth.k12.nd.us/files/2018/08/BCN-Handbook.pdf&hl=en_US","appropriate/inappropriate"," Students refusing to change inappropriate clothing will be placed in in-school suspension and parents contacted."
"Fonda-Fultonville Senior High School","NY","https://www.fondafultonvilleschools.org/hs/student-dress-code/","appropriate/inappropriate","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions."
"Fonda-Fultonville Senior High School","NY","https://www.fondafultonvilleschools.org/hs/student-dress-code/","appropriate/inappropriate"," Teachers and all other District personnel should exemplify and reinforce acceptable student dress and help students develop an understanding of appropriate appearance in the school setting."
"Fonda-Fultonville Senior High School","NY","https://www.fondafultonvilleschools.org/hs/student-dress-code/","appropriate/inappropriate"," The administrator(s) of the building has the authority to determine if a student’s appearance is inappropriate for school."
"Fonda-Fultonville Senior High School","NY","https://www.fondafultonvilleschools.org/hs/student-dress-code/","appropriate/inappropriate","  Guidelines for dress A student’s dress, grooming and appearance, including hair style/color, jewelry, make-up, body art, and nails, shall:  Be safe, appropriate and not disrupt or interfere with the educational process."
"Fonda-Fultonville Senior High School","NY","https://www.fondafultonvilleschools.org/hs/student-dress-code/","appropriate/inappropriate"," Standardized acceptable clothing for high school and middle school students includes skirts/shorts of an appropriate length as to not distract the learning environment."
"Fonda-Fultonville Senior High School","NY","https://www.fondafultonvilleschools.org/hs/student-dress-code/","appropriate/inappropriate","  Principal or his/her designee will determine appropriate length using various techniques including finger tip tests, etc."
"Mohonasen Senior High School","NY","https://www.mohonasen.org/wp-content/uploads/2017/09/CodeofConduct_2017_forweb.pdf","appropriate/inappropriate","All students are expected to give proper attention to personal cleanliness and to dress appropriately for school and school functions."
