"schoolName","state","website","stateAbb","schoolType","charterSchool","magnetSchool","locale","totalStudents","lowestGrade","highestGrade","totalRace","raceNative","raceAsian","raceHispanic","raceBlack","raceWhite","raceHawaiian","raceMultiple","studentTeacherRatio","teacherCount","matches","pWhite","pBlack","pHispanic"
"112 ALC AFTER SCHOOL & SUMMER SCH","Minnesota","http://www.district112.org/","MN ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",34,"9th Grade","12th Grade",34,0,1,10,0,22,0,1,NA,NA,"guide",65,0,29
"4122 - EAGLE RIDGE ACADEMY - IS","MINNESOTA","http://www.eagleridgeacademy.org","MN ","4-Alternative/other school","2-No","2-No","13-City: Small",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,NA,0,"handbook",NA,NA,NA
"A MACEO SMITH NEW TECH H S","Texas","www.dallasisd.org/newtech","TX ","1-Regular school","2-No","2-No","11-City: Large",433,"9th Grade","12th Grade",433,0,2,299,115,12,1,4,16.65,26,"handbook",3,27,69
"A. CRAWFORD MOSLEY HIGH SCHOOL","Florida","http://www.bay.k12.fl.us/","FL ","1-Regular school","2-No","2-No","22-Suburb: Mid-size",1721,"9th Grade","12th Grade",1721,7,29,99,155,1358,3,70,22.06,78,"guide",79,9,6
"A. I. PRINCE TECHNICAL HIGH SCHOOL","Connecticut","www.cttech.org/PRINCE/index.htm","CT ","3-Vocational school","2-No","2-No","12-City: Mid-size",768,"9th Grade","12th Grade",768,2,11,480,203,63,2,7,10.25,74.9,"handbook",8,26,62
"ABBOTT HOUSE HIGH SCHOOL - 07","South Dakota","mitchellschools.org","SD ","1-Regular school","2-No",NA,"33-Town: Remote",17,"9th Grade","12th Grade",17,12,0,0,0,4,0,1,NA,NA,"appearance",24,0,0
"ABILENE H S","Texas","www.abileneisd.org","TX ","1-Regular school","2-No","2-No","12-City: Mid-size",2015,"9th Grade","12th Grade",2015,7,19,928,267,731,0,63,15.23,132.3,"handbook",36,13,46
"ABILENE HIGH SCHOOL","Kansas","http://www.abileneschools.org","KS ","1-Regular school","2-No","2-No","32-Town: Distant",524,"9th Grade","12th Grade",524,2,0,27,11,466,0,18,12.94,40.5,"handbook",89,2,5
"ABRAHAM LINCOLN HIGH SCHOOL","Colorado","http://lincolnlancers.org","CO ","1-Regular school","2-No","2-No","11-City: Large",1393,"9th Grade","12th Grade",1393,15,46,1260,35,32,0,5,15.83,88.02,"manual",2,3,90
"ACADEMY FOR COMMUNITY EDUCATION (ACE)","Florida","http://ace.dadeschools.net","FL ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",93,"9th Grade","12th Grade",93,0,0,28,63,2,0,0,9.3,10,"guide",2,68,30
"ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES)","Utah","http://www.ames-slc.org/","UT ","1-Regular school","1-Yes","1-Yes","21-Suburb: Large",508,"9th Grade","12th Grade",508,15,51,130,25,240,39,8,NA,NA,"appearance",47,5,26
"ACADEMY FOR SCIENCE AND DESIGN CHARTER (H)","New Hampshire","www.asdnh.org","NH ","1-Regular school","1-Yes","2-No","13-City: Small",169,"9th Grade","12th Grade",169,1,28,4,1,135,0,0,19.2,8.8,"handbook",80,1,2
"ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE","Texas","www.abileneisd.org","TX ","1-Regular school","2-No","2-No","12-City: Mid-size",369,"9th Grade","12th Grade",369,1,5,140,21,188,0,14,17.56,21.01,"handbook",51,6,38
"ACADEMY OF ARTS AND ACADEMICS","Oregon","a3school.org/","OR ","1-Regular school","1-Yes",NA,"22-Suburb: Mid-size",357,"9th Grade","12th Grade",357,9,3,25,2,277,0,41,25.72,13.88,"guide",78,1,7
"ACADEMY OF ARTS AND SCIENCES: LOS ANGELES (9-12)","CALIFORNIA","www.aascalifornia.org","CA ","1-Regular school","1-Yes","2-No","11-City: Large",29,"9th Grade","12th Grade",29,0,1,9,2,12,1,4,9.42,3.08,"appearance",41,7,31
"ACADEMY OF ENVIRON. SCIENCES","Florida","http://aes.citrusschools.org/","FL ","1-Regular school","1-Yes","1-Yes","41-Rural: Fringe",92,"9th Grade","12th Grade",92,2,1,3,0,83,0,3,15.33,6,"manual",90,0,3
"ACADEMY OF THE REDWOODS","California","http://ar.fuhsdistrict.org","CA ","4-Alternative/other school","2-No","2-No","41-Rural: Fringe",178,"9th Grade","12th Grade",178,8,11,30,0,122,0,7,40.45,4.4,"guide",69,0,17
"ACALANES CENTER FOR INDEPENDENT STUDY","California","www.acalanes.k12.ca.us","CA ","4-Alternative/other school","2-No","2-No","13-City: Small",39,"9th Grade","12th Grade",39,0,3,7,1,26,1,1,11.47,3.4,"guide",67,3,18
"ACE CHARTER HIGH","California","www.acecharter.org","CA ","1-Regular school","1-Yes","2-No","11-City: Large",267,"9th Grade","12th Grade",267,0,1,261,0,2,0,3,17.8,15,"guide",1,0,98
"ACE LEADERSHIP HIGH SCHOOL","New Mexico","http://aceleadership.org/","NM ","1-Regular school","1-Yes",NA,"11-City: Large",420,"9th Grade","12th Grade",420,13,0,377,0,28,0,2,26.25,16,"appearance",7,0,90
"ADDISON HIGH SCHOOL","Michigan","addisonschools.org","MI ","1-Regular school","2-No","2-No","42-Rural: Distant",269,"9th Grade","12th Grade",269,1,2,15,3,239,0,9,24.06,11.18,"handbook",89,1,6
"ADELANTO HIGH","California","www.vvuhsd.org","CA ","1-Regular school","2-No","2-No","41-Rural: Fringe",1695,"9th Grade","12th Grade",1695,6,25,1076,442,87,14,45,23.38,72.5,"guide",5,26,63
"ADM SENIOR HIGH SCHOOL","Iowa","www.adm.k12.ia.us","IA ","1-Regular school","2-No",NA,"31-Town: Fringe",479,"9th Grade","12th Grade",479,1,1,8,1,459,0,9,14.64,32.71,"guide",96,0,2
"ADMIRAL PEARY AVTS","Pennsylvania","http://www.admiralpeary.tec.pa.us","PA ","3-Vocational school","2-No","2-No","31-Town: Fringe",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,0,17,"appearance",NA,NA,NA
