ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; Highest Grade Offered [Public School] (All Years: 2015-16): 12th Grade; Lowest Grade Offered [Public School] (All Years: 2015-16): 9th Grade

School Name,State Name [Public School] Latest available year,Web Site URL [Public School] 2015-16,State Abbr [Public School] Latest available year,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,Urban-centric Locale [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Lowest Grade Offered [Public School] 2015-16,Highest Grade Offered [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16
112 ALC AFTER SCHOOL & SUMMER SCH,Minnesota,http://www.district112.org/,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,34,9th Grade,12th Grade,34,="0",1,10,="0",22,="0",1,–,–
21ST CENTURY SKILLS ACADEMY,Massachusetts,†,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,18,9th Grade,12th Grade,18,="0",="0",3,3,12,="0",="0",3.51,5.13
270 HOPKINS ALTERNATIVE,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,28,9th Grade,12th Grade,28,="0",="0",3,10,15,="0",="0",–,–
270 HOPKINS IS,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,1,9th Grade,12th Grade,1,="0",="0",1,="0",="0",="0",="0",4.17,="0.24"
271 METRO SOUTH ABE,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,13-City: Small,118,9th Grade,12th Grade,118,1,10,26,21,52,="0",8,32.15,3.67
271 METRO SOUTH ABE IS,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,13-City: Small,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
276 MINNETONKA COMPASS EXT YR,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
276 MINNETONKA HS IS,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",="0.20"
277 WESTONKA AREA LEARNING ACADEMY,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,41-Rural: Fringe,27,9th Grade,12th Grade,27,="0",="0",2,="0",21,="0",4,16.88,1.60
283 ST LOUIS PK INDEPENDENT STUDY,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,2,9th Grade,12th Grade,2,="0",="0",="0",1,1,="0",="0",–,–
283-IND STDY 15 AND UNDER - I.S.,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
283-ST. LOUIS PARK ALC,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
3D ACADEMY,Texas,www.donnaisd.net,TX ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,179,9th Grade,12th Grade,179,="0",="0",179,="0",="0",="0",="0",11.19,16.00
4092 - WATERSHED HIGH SCHOOL ALC,MINNESOTA,http://www.watershedhs.org,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
4122 - EAGLE RIDGE ACADEMY - IS,MINNESOTA,http://www.eagleridgeacademy.org,MN ,4-Alternative/other school,2-No,2-No,13-City: Small,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
4126 - PRAIRIE SEEDS ACADEMY - IS,Minnesota,†,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
54TH STREET ACADEMY,MICHIGAN,www.kvilleps.org,MI ,4-Alternative/other school,2-No,2-No,13-City: Small,95,9th Grade,12th Grade,95,3,2,23,36,30,1,="0",26.39,3.60
916 MAHTOMEDI ACADEMY,Minnesota,http://www.nemetro.k12.mn.us,MN ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,79,9th Grade,12th Grade,79,1,1,10,9,54,="0",4,18.46,4.28
A & M CONS H S,Texas,amchs.csisd.org,TX ,1-Regular school,2-No,2-No,12-City: Mid-size,1786,9th Grade,12th Grade,1786,5,152,398,282,887,="0",62,13.22,135.06
A B SHEPARD HIGH SCH (CAMPUS),Illinois,†,IL ,1-Regular school,2-No,2-No,21-Suburb: Large,1768,9th Grade,12th Grade,1768,3,19,357,456,897,4,32,15.19,116.40
A C JONES H S,Texas,beevilleisd.net,TX ,1-Regular school,2-No,2-No,32-Town: Distant,1010,9th Grade,12th Grade,1010,="0",6,832,25,138,1,8,15.42,65.52
A G WEST BLACK HILLS HIGH SCHOOL,Washington,†,WA ,1-Regular school,2-No,–,13-City: Small,873,9th Grade,12th Grade,873,6,39,69,20,661,5,73,21.50,40.60
A K SMITH AREA CAREER CENTER,Indiana,†,IN ,3-Vocational school,2-No,2-No,13-City: Small,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
