"school","type","group"
"ADM SENIOR HIGH SCHOOL","w",0
"AGWSR HIGH SCHOOL","w",0
"AKRON EARLY COLLEGE HIGH SCHOOL","w",0
"AKRON WESTFIELD SENIOR HIGH SCHOOL","w",0
"ALVARADO H S","w",0
"AMITY REGIONAL HIGH SCHOOL","w",0
"AMSTERDAM HIGH SCHOOL","w",0
"ANAMOSA HIGH SCHOOL","w",0
"APPOQUINIMINK HIGH SCHOOL","w",0
"APS ONLINE SCHOOL","w",0
"ARCADIA HIGH SCHOOL","w",0
"ATASCADERO HIGH","w",0
"ATHENS HIGH","w",0
"ATHOL HIGH","w",0
"AZLE H S","w",0
"BANKS COUNTY HIGH SCHOOL","w",0
"BARABOO HIGH","w",0
"BARBERS HILL H S","w",0
"BARNES COUNTY NORTH HIGH SCHOOL","w",0
"BASTROP H S","w",0
"BATESVILLE HIGH SCHOOL","w",0
"BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL","w",0
"BEGGS HS","w",0
"BELLPORT SENIOR HIGH SCHOOL","w",0
"BELTON H S","w",0
"BERRYVILLE HIGH SCHOOL","w",0
"BIG PINEY HIGH SCHOOL","w",0
"BINGHAMTON HIGH SCHOOL","w",0
"BLUE RIDGE H S","w",0
"BONNEY LAKE HIGH SCHOOL","w",0
"BORGER H S","w",0
"BOWLEGS HS","w",0
"BREMOND H S","w",0
"BRINDLEE MT HIGH SCH","w",0
"BROOKFIELD HIGH","w",0
"BUTLER HIGH SCHOOL","w",0
"BYRON NELSON H S","w",0
"CABOOL HIGH","w",0
"CALERA HIGH SCH","w",0
"CALHOUN HIGH SCHOOL","w",0
"CARMEL HIGH SCHOOL","w",0
"CARROLLTON HIGH SCHOOL","w",0
"CEDAR CITY HIGH","w",0
"CEDAR GROVE-BELGIUM HIGH","w",0
"CELINA H S","w",0
"CENTRAL HIGH SCHOOL","w",0
"CENTRALIA HIGH","w",0
"CENTURY HIGH","w",0
"CHANHASSEN HIGH SCHOOL","w",0
"CHASE HIGH","w",0
"CHILLICOTHE HIGH","w",0
"CHRISTIANSBURG HIGH","w",0
"CIMARRON HS","w",0
"CLEAR BROOK H S","w",0
"CLEARWATER HIGH","w",0
"COE-BROWN NORTHWOOD ACADEMY","w",0
"COLCHESTER HIGH SCHOOL","w",0
"COLUMBIA HIGH SCHOOL","w",0
"COMO PARK SENIOR HIGH","w",0
"CONNALLY HIGH SCHOOL","w",0
"CORNWALL CENTRAL HIGH SCHOOL","w",0
"CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES","w",0
"CREEKVIEW H S","w",0
"CUBA HIGH","w",0
"CURRITUCK COUNTY HIGH","w",0
"DANVERS HIGH","w",0
"DAPHNE HIGH SCH","w",0
"DARLINGTON HIGH","w",0
"DAVID PROUTY HIGH","w",0
"DAWSON HIGH SCHOOL","w",0
"DEL MAR HIGH","w",0
"DEPEW HIGH SCHOOL","w",0
"DEXTER HIGH","w",0
"DODGEVILLE HIGH","w",0
"DOUGLAS HIGH SCHOOL","w",0
"DOVER HS","w",0
"EAST COWETA HIGH SCHOOL","w",0
"EAST HAMPTON HIGH SCHOOL","w",0
"EAST HIGH","w",0
"EAST LAURENS HIGH SCHOOL","w",0
"EASTERN HIGH SCHOOL","w",0
"ELGIN HS","w",0
"ELKO HIGH SCHOOL","w",0
"ELSBERRY HIGH","w",0
